nodes,techs,carriers,costs,cost_investment_flow_cap
netherlands,hydrogen_storage_system,power,monetary,24471.369091965917
netherlands,nuclear,power,monetary,11427.9
netherlands,offshore_wind,power,monetary,70369.41233359027
netherlands,onshore_wind,power,monetary,17760.0
netherlands,solar,power,monetary,26639.786899444403
