Run,years,weights,contiguous,Cost Error,Mean Capacity Mix Error,Mean Abs Capacity Mix Error,Abs Compound Error,LDES Capacity Error
[2010],2010,1,True,0.013886662593335597,-0.15595420121673373,0.259298857620895,0.1365927601071153,-0.30137823199844893
[2011],2011,1,True,-0.1347426837789839,-0.20734573248533006,0.24339502437423938,0.18906885407661164,-0.6572016413068341
[2012],2012,1,True,-0.08599583392602927,-0.17155462235545688,0.20807686413795243,0.14703634903199087,-0.5145444307587338
[2013],2013,1,True,-0.09561587378569192,-0.2462232375894334,0.2788567802468863,0.18723632701628912,-0.5590115079545579
[2014],2014,1,True,-0.09095503488517087,-0.11122543074790084,0.1770579626764863,0.1340064987808286,-0.5225105398069694
[2015],2015,1,True,-0.1470140133874448,-0.13764002758697558,0.16775117081196836,0.15738259209970656,-0.6343396522723647
[2016],2016,1,True,-0.037589857013357486,0.08771184542764546,0.23119643142959617,0.13439314422147683,-0.43607833713833266
[2017],2017,1,True,-0.0678083956668879,-0.058420424101101695,0.13648859837422445,0.10214849702055617,-0.5054886349823362
[2018],2018,1,True,-0.14706745515156816,-0.20475010169825333,0.2440574928540903,0.19556247400282922,-0.7946195886906611
[2019],2019,1,True,-0.11681972090508708,-0.2540571991887905,0.2727884294651994,0.19480407518514323,-0.6195188129225
"[2010,2011]_[9:1]",2010,9,True,0.012734378114057643,-0.15506512404702993,0.259563867727535,0.1361491229207963,-0.2992184099501498
"[2010,2011]_[9:1]",2011,1,True,0.012734378114057643,-0.15506512404702993,0.259563867727535,0.1361491229207963,-0.2992184099501498
"[2010,2012]_[9:1]",2010,9,False,0.013224291681362743,-0.15580191629037352,0.26019850009192946,0.1367113958866461,-0.29960038232013175
"[2010,2012]_[9:1]",2012,1,False,0.013224291681362743,-0.15580191629037352,0.26019850009192946,0.1367113958866461,-0.29960038232013175
"[2010,2013]_[9:1]",2010,9,False,0.012983742718115865,-0.15600802372968772,0.26031299065992985,0.13664836668902286,-0.29956984254668795
"[2010,2013]_[9:1]",2013,1,False,0.012983742718115865,-0.15600802372968772,0.26031299065992985,0.13664836668902286,-0.29956984254668795
"[2010,2014]_[9:1]",2010,9,False,0.013054387177777738,-0.155409408639052,0.259510112253592,0.13628224971568487,-0.2994996640630716
"[2010,2014]_[9:1]",2014,1,False,0.013054387177777738,-0.155409408639052,0.259510112253592,0.13628224971568487,-0.2994996640630716
"[2010,2015]_[9:1]",2010,9,False,0.0121641524753342,-0.15714968034118668,0.261840222436377,0.1370021874558556,-0.3001463351830065
"[2010,2015]_[9:1]",2015,1,False,0.0121641524753342,-0.15714968034118668,0.261840222436377,0.1370021874558556,-0.3001463351830065
"[2010,2016]_[9:1]",2010,9,False,0.013682958529666722,-0.1502332048224604,0.25351437415148564,0.13359866634057618,-0.29961336906391156
"[2010,2016]_[9:1]",2016,1,False,0.013682958529666722,-0.1502332048224604,0.25351437415148564,0.13359866634057618,-0.29961336906391156
"[2010,2017]_[9:1]",2010,9,False,0.022901155152166286,-0.12692355307157183,0.2379303570884194,0.13041575612029283,-0.21470775507297635
"[2010,2017]_[9:1]",2017,1,False,0.022901155152166286,-0.12692355307157183,0.2379303570884194,0.13041575612029283,-0.21470775507297635
"[2010,2018]_[9:1]",2010,9,False,0.012559175880240359,-0.15529050925902466,0.25994820494933096,0.13625369041478566,-0.2996672308725872
"[2010,2018]_[9:1]",2018,1,False,0.012559175880240359,-0.15529050925902466,0.25994820494933096,0.13625369041478566,-0.2996672308725872
"[2010,2019]_[9:1]",2010,9,False,0.012686030717833363,-0.1552905092590248,0.259948204949331,0.1363171178335822,-0.29966723087258784
"[2010,2019]_[9:1]",2019,1,False,0.012686030717833363,-0.1552905092590248,0.259948204949331,0.1363171178335822,-0.29966723087258784
"[2011,2010]_[9:1]",2011,9,True,0.004015066306824133,-0.1546017302276077,0.26123448044708925,0.1326247733769567,-0.29302932461677467
"[2011,2010]_[9:1]",2010,1,True,0.004015066306824133,-0.1546017302276077,0.26123448044708925,0.1326247733769567,-0.29302932461677467
"[2011,2012]_[9:1]",2011,9,True,-0.09082822613229646,-0.17083267685303527,0.20971966810346224,0.15027394711787934,-0.5127211202200699
"[2011,2012]_[9:1]",2012,1,True,-0.09082822613229646,-0.17083267685303527,0.20971966810346224,0.15027394711787934,-0.5127211202200699
"[2011,2013]_[9:1]",2011,9,False,-0.09674063839564939,-0.21180489723541202,0.24596238954997623,0.1713515139728128,-0.5561790087009056
"[2011,2013]_[9:1]",2013,1,False,-0.09674063839564939,-0.21180489723541202,0.24596238954997623,0.1713515139728128,-0.5561790087009056
"[2011,2014]_[9:1]",2011,9,False,-0.08843657654532167,-0.22457716831053873,0.26178255993932564,0.17510956824232365,-0.5832775469908802
"[2011,2014]_[9:1]",2014,1,False,-0.08843657654532167,-0.22457716831053873,0.26178255993932564,0.17510956824232365,-0.5832775469908802
"[2011,2015]_[9:1]",2011,9,False,-0.13466130482323846,-0.21936369369366007,0.25683183526332826,0.19574657004328336,-0.6567925285278542
"[2011,2015]_[9:1]",2015,1,False,-0.13466130482323846,-0.21936369369366007,0.25683183526332826,0.19574657004328336,-0.6567925285278542
"[2011,2016]_[9:1]",2011,9,False,-0.03312999822113594,-0.09133908935994646,0.15580101223910853,0.09446550523012223,-0.43120554727137816
"[2011,2016]_[9:1]",2016,1,False,-0.03312999822113594,-0.09133908935994646,0.15580101223910853,0.09446550523012223,-0.43120554727137816
"[2011,2017]_[9:1]",2011,9,False,-0.0741928159879548,-0.10201960359617268,0.16502703941949962,0.1196099277037272,-0.5076105537856632
"[2011,2017]_[9:1]",2017,1,False,-0.0741928159879548,-0.10201960359617268,0.16502703941949962,0.1196099277037272,-0.5076105537856632
"[2011,2018]_[9:1]",2011,9,False,-0.12169332560110124,-0.1683260468614319,0.18335534347984012,0.15252433454047068,-0.6540065082912244
"[2011,2018]_[9:1]",2018,1,False,-0.12169332560110124,-0.1683260468614319,0.18335534347984012,0.15252433454047068,-0.6540065082912244
"[2011,2019]_[9:1]",2011,9,False,-0.10389943763592224,-0.2012307851150012,0.20238120383802835,0.1531403207369753,-0.5479813176739674
"[2011,2019]_[9:1]",2019,1,False,-0.10389943763592224,-0.2012307851150012,0.20238120383802835,0.1531403207369753,-0.5479813176739674
"[2012,2010]_[9:1]",2012,9,False,0.005562163372632378,-0.15730155156935138,0.2626875410326093,0.13412485220262083,-0.30374246246299563
"[2012,2010]_[9:1]",2010,1,False,0.005562163372632378,-0.15730155156935138,0.2626875410326093,0.13412485220262083,-0.30374246246299563
"[2012,2011]_[9:1]",2012,9,True,-0.08431681604698105,-0.1700452048370203,0.20499094697422832,0.14465388151060468,-0.5072672419934863
"[2012,2011]_[9:1]",2011,1,True,-0.08431681604698105,-0.1700452048370203,0.20499094697422832,0.14465388151060468,-0.5072672419934863
"[2012,2013]_[9:1]",2012,9,True,-0.0778452450420406,-0.16451639686380673,0.19841113923748965,0.13812819213976513,-0.46496896851299396
"[2012,2013]_[9:1]",2013,1,True,-0.0778452450420406,-0.16451639686380673,0.19841113923748965,0.13812819213976513,-0.46496896851299396
"[2012,2014]_[9:1]",2012,9,False,-0.07640775900943608,-0.17540080598719848,0.23215609526282371,0.1542819271361299,-0.626106355296246
"[2012,2014]_[9:1]",2014,1,False,-0.07640775900943608,-0.17540080598719848,0.23215609526282371,0.1542819271361299,-0.626106355296246
"[2012,2015]_[9:1]",2012,9,False,-0.08440128986952289,-0.18661945997637078,0.22387740159333389,0.1541393457314284,-0.5062952529417811
"[2012,2015]_[9:1]",2015,1,False,-0.08440128986952289,-0.18661945997637078,0.22387740159333389,0.1541393457314284,-0.5062952529417811
"[2012,2016]_[9:1]",2012,9,False,-0.021696159093361977,-0.13497020949646407,0.2375764673236718,0.12963631320851687,-0.48786338230139825
"[2012,2016]_[9:1]",2016,1,False,-0.021696159093361977,-0.13497020949646407,0.2375764673236718,0.12963631320851687,-0.48786338230139825
"[2012,2017]_[9:1]",2012,9,False,-0.06308608125519322,-0.13514295648279542,0.19231734361855832,0.12770171243687578,-0.4518134959051351
"[2012,2017]_[9:1]",2017,1,False,-0.06308608125519322,-0.13514295648279542,0.19231734361855832,0.12770171243687578,-0.4518134959051351
"[2012,2018]_[9:1]",2012,9,False,-0.08441785023189308,-0.1701297349044133,0.20481272710074,0.14461528866631654,-0.507426011550824
"[2012,2018]_[9:1]",2018,1,False,-0.08441785023189308,-0.1701297349044133,0.20481272710074,0.14461528866631654,-0.507426011550824
"[2012,2019]_[9:1]",2012,9,False,-0.08430013433659977,-0.17015699457292063,0.20489253675742367,0.14459633554701173,-0.5074627387150334
"[2012,2019]_[9:1]",2019,1,False,-0.08430013433659977,-0.17015699457292063,0.20489253675742367,0.14459633554701173,-0.5074627387150334
"[2013,2010]_[9:1]",2013,9,False,0.006279977913572488,-0.1553987807232692,0.2605583563927824,0.13341916715317745,-0.2954630805092703
"[2013,2010]_[9:1]",2010,1,False,0.006279977913572488,-0.1553987807232692,0.2605583563927824,0.13341916715317745,-0.2954630805092703
"[2013,2011]_[9:1]",2013,9,False,-0.09422269920346438,-0.23275419982279408,0.266228542291067,0.1802256207472657,-0.5576682754599059
"[2013,2011]_[9:1]",2011,1,False,-0.09422269920346438,-0.23275419982279408,0.266228542291067,0.1802256207472657,-0.5576682754599059
"[2013,2012]_[9:1]",2013,9,True,-0.08008881753169472,-0.18752487306845067,0.22304866507559748,0.15156874130364612,-0.4595152706802851
"[2013,2012]_[9:1]",2012,1,True,-0.08008881753169472,-0.18752487306845067,0.22304866507559748,0.15156874130364612,-0.4595152706802851
"[2013,2014]_[9:1]",2013,9,True,-0.06613342896869623,-0.22285078840092123,0.2615801296868195,0.16385677932775786,-0.4355673939232513
"[2013,2014]_[9:1]",2014,1,True,-0.06613342896869623,-0.22285078840092123,0.2615801296868195,0.16385677932775786,-0.4355673939232513
"[2013,2015]_[9:1]",2013,9,False,-0.09408420979722498,-0.22942161456665053,0.26310615698762846,0.17859518339242672,-0.5569500958427408
"[2013,2015]_[9:1]",2015,1,False,-0.09408420979722498,-0.22942161456665053,0.26310615698762846,0.17859518339242672,-0.5569500958427408
"[2013,2016]_[9:1]",2013,9,False,-0.007851261230563567,-0.11011588212750331,0.15976912574101337,0.08381019348578847,-0.19469968664468118
"[2013,2016]_[9:1]",2016,1,False,-0.007851261230563567,-0.11011588212750331,0.15976912574101337,0.08381019348578847,-0.19469968664468118
"[2013,2017]_[9:1]",2013,9,False,-0.07150750060913857,-0.0584834744139368,0.1366566444374724,0.1040820725233055,-0.5056194922465688
"[2013,2017]_[9:1]",2017,1,False,-0.07150750060913857,-0.0584834744139368,0.1366566444374724,0.1040820725233055,-0.5056194922465688
"[2013,2018]_[9:1]",2013,9,False,-0.09608295091208552,-0.23737450604937851,0.27053354858859396,0.18330824975033974,-0.5582297984681766
"[2013,2018]_[9:1]",2018,1,False,-0.09608295091208552,-0.23737450604937851,0.27053354858859396,0.18330824975033974,-0.5582297984681766
"[2013,2019]_[9:1]",2013,9,False,-0.08079173034989484,-0.20137770493153065,0.22223898577473114,0.15151535806231298,-0.4741216076155954
"[2013,2019]_[9:1]",2019,1,False,-0.08079173034989484,-0.20137770493153065,0.22223898577473114,0.15151535806231298,-0.4741216076155954
"[2014,2010]_[9:1]",2014,9,False,0.006866627156000504,-0.14936650952597225,0.2533976322325789,0.1301321296942897,-0.2936056270823375
"[2014,2010]_[9:1]",2010,1,False,0.006866627156000504,-0.14936650952597225,0.2533976322325789,0.1301321296942897,-0.2936056270823375
"[2014,2011]_[9:1]",2014,9,False,-0.08566342833968876,-0.22487206692449965,0.2609739088015852,0.173318668570637,-0.5839571879709194
"[2014,2011]_[9:1]",2011,1,False,-0.08566342833968876,-0.22487206692449965,0.2609739088015852,0.173318668570637,-0.5839571879709194
"[2014,2012]_[9:1]",2014,9,False,-0.07773948746844439,-0.1736719368234315,0.23116162388825193,0.15445055567834814,-0.6256693901893005
"[2014,2012]_[9:1]",2012,1,False,-0.07773948746844439,-0.1736719368234315,0.23116162388825193,0.15445055567834814,-0.6256693901893005
"[2014,2013]_[9:1]",2014,9,True,-0.06570192869494751,-0.22238496669777832,0.26179745782996783,0.16374969326245767,-0.43308222812108466
"[2014,2013]_[9:1]",2013,1,True,-0.06570192869494751,-0.22238496669777832,0.26179745782996783,0.16374969326245767,-0.43308222812108466
"[2014,2015]_[9:1]",2014,9,True,-0.09040187897932361,-0.1426149487673151,0.20030405444383045,0.14535296671157705,-0.5340451607872454
"[2014,2015]_[9:1]",2015,1,True,-0.09040187897932361,-0.1426149487673151,0.20030405444383045,0.14535296671157705,-0.5340451607872454
"[2014,2016]_[9:1]",2014,9,False,-0.043096341919662384,-0.06288772713771243,0.11736579657004086,0.08023106924485163,-0.43219689866171873
"[2014,2016]_[9:1]",2016,1,False,-0.043096341919662384,-0.06288772713771243,0.11736579657004086,0.08023106924485163,-0.43219689866171873
"[2014,2017]_[9:1]",2014,9,False,-0.05629595973167778,-0.13827786701664838,0.18000255762859294,0.11814925868013536,-0.4126799401491875
"[2014,2017]_[9:1]",2017,1,False,-0.05629595973167778,-0.13827786701664838,0.18000255762859294,0.11814925868013536,-0.4126799401491875
"[2014,2018]_[9:1]",2014,9,False,-0.09143760130282275,-0.11124062906347938,0.17717673399161923,0.134307167647221,-0.5223462851789276
"[2014,2018]_[9:1]",2018,1,False,-0.09143760130282275,-0.11124062906347938,0.17717673399161923,0.134307167647221,-0.5223462851789276
"[2014,2019]_[9:1]",2014,9,False,-0.09082257822639084,-0.11103465759978638,0.17007807506148412,0.13045032664393746,-0.5304546025582314
"[2014,2019]_[9:1]",2019,1,False,-0.09082257822639084,-0.11103465759978638,0.17007807506148412,0.13045032664393746,-0.5304546025582314
"[2015,2010]_[9:1]",2015,9,False,-0.0011448384145952284,-0.15585299174221082,0.2627980837556946,0.1319714610851449,-0.2958830662134405
"[2015,2010]_[9:1]",2010,1,False,-0.0011448384145952284,-0.15585299174221082,0.2627980837556946,0.1319714610851449,-0.2958830662134405
"[2015,2011]_[9:1]",2015,9,False,-0.13909932736213315,-0.21933279207320058,0.2569060336192212,0.19800268049067718,-0.6567717707747199
"[2015,2011]_[9:1]",2011,1,False,-0.13909932736213315,-0.21933279207320058,0.2569060336192212,0.19800268049067718,-0.6567717707747199
"[2015,2012]_[9:1]",2015,9,False,-0.09541618753057957,-0.18808248107779793,0.22791537211539747,0.16166577982298852,-0.5136161771902661
"[2015,2012]_[9:1]",2012,1,False,-0.09541618753057957,-0.18808248107779793,0.22791537211539747,0.16166577982298852,-0.5136161771902661
"[2015,2013]_[9:1]",2015,9,False,-0.10114455055800342,-0.22640941760263258,0.2609873098226068,0.18106593019030512,-0.5578434146648505
"[2015,2013]_[9:1]",2013,1,False,-0.10114455055800342,-0.22640941760263258,0.2609873098226068,0.18106593019030512,-0.5578434146648505
"[2015,2014]_[9:1]",2015,9,True,-0.0974563073405047,-0.1281377932324634,0.18484406478397636,0.14115018606224053,-0.534152821414809
"[2015,2014]_[9:1]",2014,1,True,-0.0974563073405047,-0.1281377932324634,0.18484406478397636,0.14115018606224053,-0.534152821414809
"[2015,2016]_[9:1]",2015,9,True,-0.038381279481923825,-0.13744892952735455,0.19279141117130255,0.11558634532661319,-0.3543146107354116
"[2015,2016]_[9:1]",2016,1,True,-0.038381279481923825,-0.13744892952735455,0.19279141117130255,0.11558634532661319,-0.3543146107354116
"[2015,2017]_[9:1]",2015,9,False,-0.0786912724414971,-0.1697467327381161,0.23527656799390315,0.15698392021770013,-0.5108620214154342
"[2015,2017]_[9:1]",2017,1,False,-0.0786912724414971,-0.1697467327381161,0.23527656799390315,0.15698392021770013,-0.5108620214154342
"[2015,2018]_[9:1]",2015,9,False,-0.13441835781492095,-0.21725665770869387,0.24973255040161804,0.19207545410826948,-0.6724395233802334
"[2015,2018]_[9:1]",2018,1,False,-0.13441835781492095,-0.21725665770869387,0.24973255040161804,0.19207545410826948,-0.6724395233802334
"[2015,2019]_[9:1]",2015,9,False,-0.11926573343285951,-0.22935486539089148,0.25210901027120886,0.18568737185203418,-0.6035787126275876
"[2015,2019]_[9:1]",2019,1,False,-0.11926573343285951,-0.22935486539089148,0.25210901027120886,0.18568737185203418,-0.6035787126275876
"[2016,2010]_[9:1]",2016,9,False,0.01117749000550372,-0.13725236073504363,0.23854079919224755,0.12485914459887563,-0.3034303249204531
"[2016,2010]_[9:1]",2010,1,False,0.01117749000550372,-0.13725236073504363,0.23854079919224755,0.12485914459887563,-0.3034303249204531
"[2016,2011]_[9:1]",2016,9,False,-0.025600131872952403,-0.07499969546147527,0.15283843316915907,0.08921928252105574,-0.5011532098608162
"[2016,2011]_[9:1]",2011,1,False,-0.025600131872952403,-0.07499969546147527,0.15283843316915907,0.08921928252105574,-0.5011532098608162
"[2016,2012]_[9:1]",2016,9,False,-0.018069216036138647,-0.10498625255218237,0.20577820528552912,0.11192371066083388,-0.48485694935296597
"[2016,2012]_[9:1]",2012,1,False,-0.018069216036138647,-0.10498625255218237,0.20577820528552912,0.11192371066083388,-0.48485694935296597
"[2016,2013]_[9:1]",2016,9,False,-0.0021249364406353832,-0.08900167486338863,0.13945970185331144,0.07079231914697341,-0.1990432259455207
"[2016,2013]_[9:1]",2013,1,False,-0.0021249364406353832,-0.08900167486338863,0.13945970185331144,0.07079231914697341,-0.1990432259455207
"[2016,2014]_[9:1]",2016,9,False,-0.037011187494353615,-0.06287398103488703,0.11158992709736491,0.07430055729585927,-0.43531756921362286
"[2016,2014]_[9:1]",2014,1,False,-0.037011187494353615,-0.06287398103488703,0.11158992709736491,0.07430055729585927,-0.43531756921362286
"[2016,2015]_[9:1]",2016,9,True,-0.02597054689738809,-0.10493869764167836,0.15807526303624586,0.09202290496681698,-0.35685056827165074
"[2016,2015]_[9:1]",2015,1,True,-0.02597054689738809,-0.10493869764167836,0.15807526303624586,0.09202290496681698,-0.35685056827165074
"[2016,2017]_[9:1]",2016,9,True,0.008015438320006618,0.13407540690530118,0.18917450917490677,0.0985949737474567,-0.1262423878994059
"[2016,2017]_[9:1]",2017,1,True,0.008015438320006618,0.13407540690530118,0.18917450917490677,0.0985949737474567,-0.1262423878994059
"[2016,2018]_[9:1]",2016,9,False,-0.03316768615377441,0.06898577031634393,0.19991779652433156,0.11654274133905299,-0.3961601163091436
"[2016,2018]_[9:1]",2018,1,False,-0.03316768615377441,0.06898577031634393,0.19991779652433156,0.11654274133905299,-0.3961601163091436
"[2016,2019]_[9:1]",2016,9,False,-0.029437861086475503,-0.012040393358954618,0.1197955640492832,0.07461671256787936,-0.38281988507611053
"[2016,2019]_[9:1]",2019,1,False,-0.029437861086475503,-0.012040393358954618,0.1197955640492832,0.07461671256787936,-0.38281988507611053
"[2017,2010]_[9:1]",2017,9,False,0.01954063192838973,-0.12616384699571528,0.2391163398125207,0.1293284858704552,-0.21191366127707412
"[2017,2010]_[9:1]",2010,1,False,0.01954063192838973,-0.12616384699571528,0.2391163398125207,0.1293284858704552,-0.21191366127707412
"[2017,2011]_[9:1]",2017,9,False,-0.06851526945031494,-0.10190453812520209,0.16464922400764775,0.11658224672898135,-0.507002208738593
"[2017,2011]_[9:1]",2011,1,False,-0.06851526945031494,-0.10190453812520209,0.16464922400764775,0.11658224672898135,-0.507002208738593
"[2017,2012]_[9:1]",2017,9,False,-0.06093908092006728,-0.13399486401690347,0.19216770092801513,0.12655339092404122,-0.45557554555243407
"[2017,2012]_[9:1]",2012,1,False,-0.06093908092006728,-0.13399486401690347,0.19216770092801513,0.12655339092404122,-0.45557554555243407
