Run,years,weights,Cost Error,Mean Capacity Mix Error,Mean Abs Capacity Mix Error,Abs Compound Error
"[2014,2018]_[1:9]",2014,1,-0.098870501,0.035232167,0.23776978649145927,0.16832014394072997
"[2014,2018]_[1:9]",2018,9,-0.098870501,0.035232167,0.23776978649145927,0.16832014394072997
"[2015,2014]_[1:9]",2015,1,-0.098765876,0.049426251,0.24986155798286128,0.1743137167591033
"[2015,2014]_[1:9]",2014,9,-0.098765876,0.049426251,0.24986155798286128,0.1743137167591033
"[2013,2014,2015]_[1:1:8]",2013,1,-0.098641366,0.049300498,0.24974629895456468,0.1741938327269757
"[2013,2014,2015]_[1:1:8]",2014,1,-0.098641366,0.049300498,0.24974629895456468,0.1741938327269757
"[2013,2014,2015]_[1:1:8]",2015,8,-0.098641366,0.049300498,0.24974629895456468,0.1741938327269757
"[2013,2014,2015]_[8:1:1]",2013,8,-0.098619574,0.049300497943108854,0.24974629895456438,0.17418293669467644
"[2013,2014,2015]_[8:1:1]",2014,1,-0.098619574,0.049300497943108854,0.24974629895456438,0.17418293669467644
"[2013,2014,2015]_[8:1:1]",2015,1,-0.098619574,0.049300497943108854,0.24974629895456438,0.17418293669467644
"[2018,2014]_[1:9]",2018,1,-0.098584267,0.035338046065857345,0.23773644852300282,0.16816035772819993
"[2018,2014]_[1:9]",2014,9,-0.098584267,0.035338046065857345,0.23773644852300282,0.16816035772819993
"[2014,2019]_[1:9]",2014,1,-0.098447603,0.036454823,0.2374785764389194,0.1679630898634675
"[2014,2019]_[1:9]",2019,9,-0.098447603,0.036454823,0.2374785764389194,0.1679630898634675
"[2013,2014,2015]_[1:8:1]",2013,1,-0.098244759,0.049324397,0.24977060025375689,0.17400767959136737
"[2013,2014,2015]_[1:8:1]",2014,8,-0.098244759,0.049324397,0.24977060025375689,0.17400767959136737
"[2013,2014,2015]_[1:8:1]",2015,1,-0.098244759,0.049324397,0.24977060025375689,0.17400767959136737
"[2019,2014]_[1:9]",2019,1,-0.098187744,0.036406223,0.23746570432056263,0.1678267241364598
"[2019,2014]_[1:9]",2014,9,-0.098187744,0.036406223,0.23746570432056263,0.1678267241364598
[2014],2014,1,-0.097940958,0.036045601,0.23752277659696958,0.16773186753901567
"[2011,2012,2013]_[1:8:1]",2011,1,-0.09751197,-0.208023124,0.22549458206375025,0.16150327596500597
"[2011,2012,2013]_[1:8:1]",2012,8,-0.09751197,-0.208023124,0.22549458206375025,0.16150327596500597
"[2011,2012,2013]_[1:8:1]",2013,1,-0.09751197,-0.208023124,0.22549458206375025,0.16150327596500597
"[2012,2013]_[1:9]",2012,1,-0.09696219,-0.204704929,0.23341324503226396,0.16518771776344546
"[2012,2013]_[1:9]",2013,9,-0.09696219,-0.204704929,0.23341324503226396,0.16518771776344546
"[2014,2011]_[1:9]",2014,1,-0.09549265,-0.156937385,0.19452280632097682,0.1450077279719777
"[2014,2011]_[1:9]",2011,9,-0.09549265,-0.156937385,0.19452280632097682,0.1450077279719777
"[2011,2014]_[1:9]",2011,1,-0.095026575,-0.157042077,0.19409869966812665,0.1445626372253072
"[2011,2014]_[1:9]",2014,9,-0.095026575,-0.157042077,0.19409869966812665,0.1445626372253072
"[2013,2012]_[1:9]",2013,1,-0.09502341,-0.204648054,0.23314486157867037,0.16408413574455707
"[2013,2012]_[1:9]",2012,9,-0.09502341,-0.204648054,0.23314486157867037,0.16408413574455707
"[2017,2013]_[1:9]",2017,1,-0.094691155,-0.23276339,0.2797469310702541,0.1872190430881698
"[2017,2013]_[1:9]",2013,9,-0.094691155,-0.23276339,0.2797469310702541,0.1872190430881698
"[2013,2017]_[1:9]",2013,1,-0.094205578,-0.23340355,0.28085578120679416,0.18753067962768924
"[2013,2017]_[1:9]",2017,9,-0.094205578,-0.23340355,0.28085578120679416,0.18753067962768924
"[2012,2014]_[1:9]",2012,1,-0.088740233,-0.145878639,0.1924413027848905,0.1405907679077364
"[2012,2014]_[1:9]",2014,9,-0.088740233,-0.145878639,0.1924413027848905,0.1405907679077364
"[2017,2018,2019]_[1:8:1]",2017,1,-0.087726307,-0.008605276,0.18620098223303336,0.1369636443907573
"[2017,2018,2019]_[1:8:1]",2018,8,-0.087726307,-0.008605276,0.18620098223303336,0.1369636443907573
"[2017,2018,2019]_[1:8:1]",2019,1,-0.087726307,-0.008605276,0.18620098223303336,0.1369636443907573
"[2012,2013,2014]_[1:8:1]",2012,1,-0.087715829,-0.118165804,0.16230020078791127,0.12500801492795022
"[2012,2013,2014]_[1:8:1]",2013,8,-0.087715829,-0.118165804,0.16230020078791127,0.12500801492795022
"[2012,2013,2014]_[1:8:1]",2014,1,-0.087715829,-0.118165804,0.16230020078791127,0.12500801492795022
