techs,technologies,year,flow_out_carrier,Flow Capacity (Power) (MW),Storage Capacity (MWh),Flow Capacity (Hydrogen) (MW),Cost Investment,Cost Investment Annualised,carriers,Cost Investment Flow Cap,Cost Investment Storage Cap,Cost Fixed Opex
h2_elec_conversion,h2_elec_conversion,2014,power,14920.636656848077,,26643.99403008585,3890.449432297016,428.6033139089231,hydrogen,2493.877841216036,,1294.9876336821135
h2_elec_conversion,h2_elec_conversion,2014,power,14920.636656848077,,26643.99403008585,3890.449432297016,428.6033139089231,power,1396.5715910809802,,1294.9876336821135
h2_salt_cavern,h2_salt_cavern,2014,hydrogen,,5829307.097724992,26643.99403008585,18595.489641742726,1859.6839134688041,,,18595.489641742726,
nuclear,nuclear,2014,power,1650.0,,,11427.9,1168.6103619859732,power,11427.9,,273.90000000000003
offshore_wind,offshore_wind,2014,power,22133.560758634176,,,46923.14880830445,5079.789458161292,power,46923.14880830445,,1106.6780379317088
onshore_wind,onshore_wind,2014,power,16000.0,,,17760.0,1922.6557268249214,power,17760.0,,262.40000000000003
solar,solar,2014,power,53992.95889671983,,,30236.056982163107,3135.1678324689087,power,30236.056982163107,,610.120435532934
battery,battery,2015,power,3421.6695113304168,1140.5565037768056,,1266.0177191922544,148.7059662517164,,,1266.0177191922544,
demand_power,demand_power,2015,,17863.0,,,,,,,,
electrolyser,electrolyser,2015,hydrogen,11888.440390112675,,7727.48625357324,23539.111972423096,2593.258587066891,hydrogen,9272.983504287888,,470.78223944846195
electrolyser,electrolyser,2015,hydrogen,11888.440390112675,,7727.48625357324,23539.111972423096,2593.258587066891,power,14266.12846813521,,470.78223944846195
h2_elec_conversion,h2_elec_conversion,2015,power,15189.231281188,,27123.627287835712,3960.48356206062,436.31883897248514,hydrogen,2538.771514141423,,1318.299421576503
h2_elec_conversion,h2_elec_conversion,2015,power,15189.231281188,,27123.627287835712,3960.48356206062,436.31883897248514,power,1421.712047919197,,1318.299421576503
h2_salt_cavern,h2_salt_cavern,2015,hydrogen,,4365250.282066429,27123.627287835712,13925.14839979191,1392.615896148671,,,13925.14839979191,
nuclear,nuclear,2015,power,1650.0,,,11427.9,1168.6103619859732,power,11427.9,,273.90000000000003
offshore_wind,offshore_wind,2015,power,21710.898514998353,,,46027.10485179651,4982.785852053923,power,46027.10485179651,,1085.5449257499176
onshore_wind,onshore_wind,2015,power,16000.0,,,17760.0,1922.6557268249214,power,17760.0,,262.40000000000003
solar,solar,2015,power,46403.824688906636,,,25986.14182578772,2694.4953831197618,power,25986.14182578772,,524.363218984645
battery,battery,2016,power,3811.259371028907,1270.419790342969,,1410.1659672806957,166.0913669328013,,,1410.1659672806957,
demand_power,demand_power,2016,,18192.0,,,,,,,,
electrolyser,electrolyser,2016,hydrogen,11856.73715664841,,7706.879151821465,23476.33957016385,2593.428943954824,hydrogen,9248.254982185757,,470.81316617424494
electrolyser,electrolyser,2016,hydrogen,11856.73715664841,,7706.879151821465,23476.33957016385,2593.428943954824,power,14228.084587978092,,470.81316617424494
h2_elec_conversion,h2_elec_conversion,2016,power,14990.086061904782,,26768.010824829966,3908.557868598373,431.7780067565554,hydrogen,2505.485813204085,,1304.5796919910615
h2_elec_conversion,h2_elec_conversion,2016,power,14990.086061904782,,26768.010824829966,3908.557868598373,431.7780067565554,power,1403.0720553942876,,1304.5796919910615
h2_salt_cavern,h2_salt_cavern,2016,hydrogen,,6613049.421115997,26768.010824829966,21095.627653360032,2115.4959018252257,,,21095.627653360032,
nuclear,nuclear,2016,power,1650.0,,,11427.9,1171.8120342105924,power,11427.9,,274.65041095890416
offshore_wind,offshore_wind,2016,power,27917.846928751507,,,59185.8354889532,6424.873304826884,power,59185.8354889532,,1399.7167090305552
onshore_wind,onshore_wind,2016,power,16000.0,,,17760.0,1927.9232767614283,power,17760.0,,263.1189041095891
solar,solar,2016,power,48689.764002765165,,,27266.267841548495,2834.9771113122524,power,27266.267841548495,,551.7017149661265
battery,battery,2017,power,2621.8841901231563,873.9613967077188,,970.0971503455679,113.94724727250633,,,970.0971503455679,
demand_power,demand_power,2017,,18439.0,,,,,,,,
electrolyser,electrolyser,2017,hydrogen,12629.74145397789,,8209.331945085629,25006.888078876218,2754.960651121406,hydrogen,9851.198334102754,,500.13776157752443
electrolyser,electrolyser,2017,hydrogen,12629.74145397789,,8209.331945085629,25006.888078876218,2754.960651121406,power,15155.689744773466,,500.13776157752443
h2_elec_conversion,h2_elec_conversion,2017,power,15234.44202994642,,27204.360767761464,3972.271941865458,437.61754204982793,hydrogen,2546.328167862473,,1322.223339965387
h2_elec_conversion,h2_elec_conversion,2017,power,15234.44202994642,,27204.360767761464,3972.271941865458,437.61754204982793,power,1425.943774002985,,1322.223339965387
h2_salt_cavern,h2_salt_cavern,2017,hydrogen,,5172887.136839025,27204.360767761464,16501.50996651649,1650.2707497300346,,,16501.50996651649,
nuclear,nuclear,2017,power,1650.0,,,11427.9,1168.6103619859732,power,11427.9,,273.90000000000003
offshore_wind,offshore_wind,2017,power,27511.135857461024,,,58323.60801781737,6313.9762930489005,power,58323.60801781737,,1375.5567928730513
onshore_wind,onshore_wind,2017,power,16000.0,,,17760.0,1922.6557268249214,power,17760.0,,262.40000000000003
solar,solar,2017,power,40390.58610195873,,,22618.728217096894,2345.3292590178803,power,22618.728217096894,,456.41362295213366
battery,battery,2018,power,2146.3326961722196,715.4442320574066,,794.1430975837213,93.27975025789111,,,794.1430975837213,
demand_power,demand_power,2018,,18063.0,,,,,,,,
electrolyser,electrolyser,2018,hydrogen,12169.22731486074,,7909.997754659481,24095.070083424263,2654.507420374295,hydrogen,9491.997305591376,,481.90140166848533
electrolyser,electrolyser,2018,hydrogen,12169.22731486074,,7909.997754659481,24095.070083424263,2654.507420374295,power,14603.072777832887,,481.90140166848533
h2_elec_conversion,h2_elec_conversion,2018,power,14614.600000000002,,26097.5,3810.6525600000004,419.81224632116766,hydrogen,2442.726,,1268.4261876
