nodes,techs,costs,cost_operation_fixed
netherlands,hydrogen_storage_system,monetary,631.9020756725056
netherlands,nuclear,monetary,273.90000000000003
netherlands,offshore_wind,monetary,1659.6559512639215
netherlands,onshore_wind,monetary,262.40000000000003
netherlands,solar,monetary,537.5528427923603
