nodes,techs,carriers,costs,cost_investment_flow_cap
netherlands,electrolyser,hydrogen,monetary,6791.022748060501
netherlands,electrolyser,power,monetary,10447.727304708462
netherlands,h2_elec_conversion,hydrogen,monetary,2364.354009379054
netherlands,h2_elec_conversion,power,monetary,1324.0382452522701
netherlands,nuclear,power,monetary,11427.9
netherlands,offshore_wind,power,monetary,51589.40808655818
netherlands,onshore_wind,power,monetary,17760.0
netherlands,solar,power,monetary,22365.45280575401
