timesteps,nodes,techs,sink_use_equals
2015-01-01 00:00:00,netherlands,demand_power,11653.0
2015-01-01 01:00:00,netherlands,demand_power,11403.0
2015-01-01 02:00:00,netherlands,demand_power,10980.0
2015-01-01 03:00:00,netherlands,demand_power,10533.0
2015-01-01 04:00:00,netherlands,demand_power,10259.0
2015-01-01 05:00:00,netherlands,demand_power,10241.0
2015-01-01 06:00:00,netherlands,demand_power,10376.0
2015-01-01 07:00:00,netherlands,demand_power,10677.0
2015-01-01 08:00:00,netherlands,demand_power,10937.0
2015-01-01 09:00:00,netherlands,demand_power,11290.0
2015-01-01 10:00:00,netherlands,demand_power,11836.0
2015-01-01 11:00:00,netherlands,demand_power,12311.0
2015-01-01 12:00:00,netherlands,demand_power,12446.0
2015-01-01 13:00:00,netherlands,demand_power,12504.0
2015-01-01 14:00:00,netherlands,demand_power,12564.0
2015-01-01 15:00:00,netherlands,demand_power,12539.0
2015-01-01 16:00:00,netherlands,demand_power,12981.0
2015-01-01 17:00:00,netherlands,demand_power,14137.0
2015-01-01 18:00:00,netherlands,demand_power,14208.0
2015-01-01 19:00:00,netherlands,demand_power,14039.0
2015-01-01 20:00:00,netherlands,demand_power,13676.0
2015-01-01 21:00:00,netherlands,demand_power,13130.0
2015-01-01 22:00:00,netherlands,demand_power,12475.0
2015-01-01 23:00:00,netherlands,demand_power,11709.0
2015-01-02 00:00:00,netherlands,demand_power,11063.0
2015-01-02 01:00:00,netherlands,demand_power,10575.0
2015-01-02 02:00:00,netherlands,demand_power,10278.0
2015-01-02 03:00:00,netherlands,demand_power,10177.0
2015-01-02 04:00:00,netherlands,demand_power,10234.0
2015-01-02 05:00:00,netherlands,demand_power,10570.0
2015-01-02 06:00:00,netherlands,demand_power,11397.0
2015-01-02 07:00:00,netherlands,demand_power,12526.0
2015-01-02 08:00:00,netherlands,demand_power,13672.0
2015-01-02 09:00:00,netherlands,demand_power,14552.0
2015-01-02 10:00:00,netherlands,demand_power,14992.0
2015-01-02 11:00:00,netherlands,demand_power,15039.0
2015-01-02 12:00:00,netherlands,demand_power,14851.0
2015-01-02 13:00:00,netherlands,demand_power,14720.0
2015-01-02 14:00:00,netherlands,demand_power,14669.0
2015-01-02 15:00:00,netherlands,demand_power,14640.0
2015-01-02 16:00:00,netherlands,demand_power,14956.0
2015-01-02 17:00:00,netherlands,demand_power,16267.0
2015-01-02 18:00:00,netherlands,demand_power,15913.0
