nodes,techs,costs,cost_operation_fixed
netherlands,electrolyser,monetary,344.7750010553793
netherlands,h2_elec_conversion,monetary,1227.73022527023
netherlands,nuclear,monetary,273.90000000000003
netherlands,offshore_wind,monetary,1216.7313227961833
netherlands,onshore_wind,monetary,262.40000000000003
netherlands,solar,monetary,451.30288697325045
