nodes,techs,carriers,flow_cap
netherlands,battery,power,14155.31643932384
netherlands,demand_power,power,18439.0
netherlands,electrolyser,hydrogen,4194.505376139776
netherlands,electrolyser,power,6453.085194061194
netherlands,h2_elec_conversion,hydrogen,20336.75023587585
netherlands,h2_elec_conversion,power,11388.580132090477
netherlands,h2_salt_cavern,hydrogen,20336.75023587585
netherlands,nuclear,power,1650.0
netherlands,offshore_wind,power,25936.32475196083
netherlands,onshore_wind,power,16000.0
netherlands,solar,power,50852.271566941985
