timesteps,nodes,techs,source_use_max
2015-01-01 00:00:00,netherlands,offshore_wind,0.5175
2015-01-01 00:00:00,netherlands,onshore_wind,0.298
2015-01-01 00:00:00,netherlands,solar,0.0
2015-01-01 01:00:00,netherlands,offshore_wind,0.519
2015-01-01 01:00:00,netherlands,onshore_wind,0.282
2015-01-01 01:00:00,netherlands,solar,0.0
2015-01-01 02:00:00,netherlands,offshore_wind,0.5396
2015-01-01 02:00:00,netherlands,onshore_wind,0.2904
2015-01-01 02:00:00,netherlands,solar,0.0
2015-01-01 03:00:00,netherlands,offshore_wind,0.546
2015-01-01 03:00:00,netherlands,onshore_wind,0.3099
2015-01-01 03:00:00,netherlands,solar,0.0
2015-01-01 04:00:00,netherlands,offshore_wind,0.5385
2015-01-01 04:00:00,netherlands,onshore_wind,0.314
2015-01-01 04:00:00,netherlands,solar,0.0
2015-01-01 05:00:00,netherlands,offshore_wind,0.5752
2015-01-01 05:00:00,netherlands,onshore_wind,0.3326
2015-01-01 05:00:00,netherlands,solar,0.0
2015-01-01 06:00:00,netherlands,offshore_wind,0.6057
2015-01-01 06:00:00,netherlands,onshore_wind,0.3631
2015-01-01 06:00:00,netherlands,solar,0.0
2015-01-01 07:00:00,netherlands,offshore_wind,0.6178
2015-01-01 07:00:00,netherlands,onshore_wind,0.3822
2015-01-01 07:00:00,netherlands,solar,0.0
2015-01-01 08:00:00,netherlands,offshore_wind,0.6291
2015-01-01 08:00:00,netherlands,onshore_wind,0.4266
2015-01-01 08:00:00,netherlands,solar,0.02
2015-01-01 09:00:00,netherlands,offshore_wind,0.6144
2015-01-01 09:00:00,netherlands,onshore_wind,0.4044
2015-01-01 09:00:00,netherlands,solar,0.09
2015-01-01 10:00:00,netherlands,offshore_wind,0.6506
2015-01-01 10:00:00,netherlands,onshore_wind,0.3986
2015-01-01 10:00:00,netherlands,solar,0.143
2015-01-01 11:00:00,netherlands,offshore_wind,0.698
2015-01-01 11:00:00,netherlands,onshore_wind,0.4455
2015-01-01 11:00:00,netherlands,solar,0.139
2015-01-01 12:00:00,netherlands,offshore_wind,0.7092
2015-01-01 12:00:00,netherlands,onshore_wind,0.4762
2015-01-01 12:00:00,netherlands,solar,0.118
2015-01-01 13:00:00,netherlands,offshore_wind,0.7335
2015-01-01 13:00:00,netherlands,onshore_wind,0.5098
2015-01-01 13:00:00,netherlands,solar,0.081
2015-01-01 14:00:00,netherlands,offshore_wind,0.7675
2015-01-01 14:00:00,netherlands,onshore_wind,0.5474
2015-01-01 14:00:00,netherlands,solar,0.039
2015-01-01 15:00:00,netherlands,offshore_wind,0.8053
2015-01-01 15:00:00,netherlands,onshore_wind,0.5863
2015-01-01 15:00:00,netherlands,solar,0.001
2015-01-01 16:00:00,netherlands,offshore_wind,0.838
2015-01-01 16:00:00,netherlands,onshore_wind,0.6229
2015-01-01 16:00:00,netherlands,solar,0.0
2015-01-01 17:00:00,netherlands,offshore_wind,0.8735
2015-01-01 17:00:00,netherlands,onshore_wind,0.6686
2015-01-01 17:00:00,netherlands,solar,0.0
2015-01-01 18:00:00,netherlands,offshore_wind,0.9027
2015-01-01 18:00:00,netherlands,onshore_wind,0.7118
2015-01-01 18:00:00,netherlands,solar,0.0
2015-01-01 19:00:00,netherlands,offshore_wind,0.9263
2015-01-01 19:00:00,netherlands,onshore_wind,0.7506
2015-01-01 19:00:00,netherlands,solar,0.0
2015-01-01 20:00:00,netherlands,offshore_wind,0.935
2015-01-01 20:00:00,netherlands,onshore_wind,0.7842
2015-01-01 20:00:00,netherlands,solar,0.0
2015-01-01 21:00:00,netherlands,offshore_wind,0.9409
2015-01-01 21:00:00,netherlands,onshore_wind,0.8067
2015-01-01 21:00:00,netherlands,solar,0.0
2015-01-01 22:00:00,netherlands,offshore_wind,0.9498
2015-01-01 22:00:00,netherlands,onshore_wind,0.8239
2015-01-01 22:00:00,netherlands,solar,0.0
2015-01-01 23:00:00,netherlands,offshore_wind,0.9566
2015-01-01 23:00:00,netherlands,onshore_wind,0.838
2015-01-01 23:00:00,netherlands,solar,0.0
2015-01-02 00:00:00,netherlands,offshore_wind,0.9646
2015-01-02 00:00:00,netherlands,onshore_wind,0.8525
2015-01-02 00:00:00,netherlands,solar,0.0
2015-01-02 01:00:00,netherlands,offshore_wind,0.968
2015-01-02 01:00:00,netherlands,onshore_wind,0.8609
2015-01-02 01:00:00,netherlands,solar,0.0
2015-01-02 02:00:00,netherlands,offshore_wind,0.9691
2015-01-02 02:00:00,netherlands,onshore_wind,0.8627
2015-01-02 02:00:00,netherlands,solar,0.0
2015-01-02 03:00:00,netherlands,offshore_wind,0.9685
2015-01-02 03:00:00,netherlands,onshore_wind,0.8654
2015-01-02 03:00:00,netherlands,solar,0.0
2015-01-02 04:00:00,netherlands,offshore_wind,0.9522
2015-01-02 04:00:00,netherlands,onshore_wind,0.8481
2015-01-02 04:00:00,netherlands,solar,0.0
2015-01-02 05:00:00,netherlands,offshore_wind,0.928
2015-01-02 05:00:00,netherlands,onshore_wind,0.8097
2015-01-02 05:00:00,netherlands,solar,0.0
2015-01-02 06:00:00,netherlands,offshore_wind,0.9153
2015-01-02 06:00:00,netherlands,onshore_wind,0.768
2015-01-02 06:00:00,netherlands,solar,0.0
2015-01-02 07:00:00,netherlands,offshore_wind,0.8892
2015-01-02 07:00:00,netherlands,onshore_wind,0.7514
2015-01-02 07:00:00,netherlands,solar,0.0
2015-01-02 08:00:00,netherlands,offshore_wind,0.8843
2015-01-02 08:00:00,netherlands,onshore_wind,0.7125
2015-01-02 08:00:00,netherlands,solar,0.025
2015-01-02 09:00:00,netherlands,offshore_wind,0.8694
2015-01-02 09:00:00,netherlands,onshore_wind,0.6622
2015-01-02 09:00:00,netherlands,solar,0.08
2015-01-02 10:00:00,netherlands,offshore_wind,0.8558
2015-01-02 10:00:00,netherlands,onshore_wind,0.6517
2015-01-02 10:00:00,netherlands,solar,0.128
2015-01-02 11:00:00,netherlands,offshore_wind,0.8545
2015-01-02 11:00:00,netherlands,onshore_wind,0.6782
2015-01-02 11:00:00,netherlands,solar,0.18
2015-01-02 12:00:00,netherlands,offshore_wind,0.8686
2015-01-02 12:00:00,netherlands,onshore_wind,0.6932
2015-01-02 12:00:00,netherlands,solar,0.28
2015-01-02 13:00:00,netherlands,offshore_wind,0.8813
2015-01-02 13:00:00,netherlands,onshore_wind,0.708
2015-01-02 13:00:00,netherlands,solar,0.253
2015-01-02 14:00:00,netherlands,offshore_wind,0.8876
2015-01-02 14:00:00,netherlands,onshore_wind,0.7091
2015-01-02 14:00:00,netherlands,solar,0.107
2015-01-02 15:00:00,netherlands,offshore_wind,0.9079
2015-01-02 15:00:00,netherlands,onshore_wind,0.7343
2015-01-02 15:00:00,netherlands,solar,0.003
2015-01-02 16:00:00,netherlands,offshore_wind,0.9221
2015-01-02 16:00:00,netherlands,onshore_wind,0.7637
2015-01-02 16:00:00,netherlands,solar,0.0
2015-01-02 17:00:00,netherlands,offshore_wind,0.9077
2015-01-02 17:00:00,netherlands,onshore_wind,0.7446
