nodes,techs,carriers,costs,cost_investment_flow_cap
netherlands,electrolyser,hydrogen,monetary,5033.40645136773
netherlands,electrolyser,power,monetary,7743.702232873432
netherlands,h2_elec_conversion,hydrogen,monetary,1903.5198220779796
netherlands,h2_elec_conversion,power,monetary,1065.9711003636687
netherlands,nuclear,power,monetary,11427.9
netherlands,offshore_wind,power,monetary,54985.008474156966
netherlands,onshore_wind,power,monetary,17760.0
netherlands,solar,power,monetary,28477.272077487516
