nodes,techs,carriers,timesteps,daily_change_storage
netherlands,h2_salt_cavern,hydrogen,2015-01-01 00:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 01:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 02:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 03:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 04:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 05:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 06:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 07:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 08:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 09:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 10:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 11:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 12:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 13:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 14:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 15:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 16:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 17:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 18:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 19:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 20:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 21:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 22:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-01 23:00:00,99661.44773708191
netherlands,h2_salt_cavern,hydrogen,2015-01-02 00:00:00,99661.44773707911
netherlands,h2_salt_cavern,hydrogen,2015-01-02 01:00:00,99661.44773707911
netherlands,h2_salt_cavern,hydrogen,2015-01-02 02:00:00,99661.44773707911
netherlands,h2_salt_cavern,hydrogen,2015-01-02 03:00:00,99661.44773707911
netherlands,h2_salt_cavern,hydrogen,2015-01-02 04:00:00,99661.44773707911
netherlands,h2_salt_cavern,hydrogen,2015-01-02 05:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-02 06:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-02 07:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-02 08:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-02 09:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-02 10:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-02 11:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 12:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 13:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 14:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 15:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 16:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 17:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 18:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 19:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 20:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 21:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 22:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-02 23:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-03 00:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-03 01:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-03 02:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-03 03:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-03 04:00:00,99661.44773707958
netherlands,h2_salt_cavern,hydrogen,2015-01-03 05:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-03 06:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-03 07:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-03 08:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-03 09:00:00,99661.44773707935
netherlands,h2_salt_cavern,hydrogen,2015-01-03 10:00:00,97588.76410889323
netherlands,h2_salt_cavern,hydrogen,2015-01-03 11:00:00,95227.23934815032
netherlands,h2_salt_cavern,hydrogen,2015-01-03 12:00:00,92150.35316555621
netherlands,h2_salt_cavern,hydrogen,2015-01-03 13:00:00,87997.79284317791
netherlands,h2_salt_cavern,hydrogen,2015-01-03 14:00:00,83845.23252079962
netherlands,h2_salt_cavern,hydrogen,2015-01-03 15:00:00,76859.23981109867
netherlands,h2_salt_cavern,hydrogen,2015-01-03 16:00:00,72706.67948872037
netherlands,h2_salt_cavern,hydrogen,2015-01-03 17:00:00,68554.11916634208
netherlands,h2_salt_cavern,hydrogen,2015-01-03 18:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-03 19:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-03 20:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-03 21:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-03 22:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-03 23:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 00:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 01:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 02:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 03:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 04:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 05:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 06:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 07:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 08:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 09:00:00,65334.70794698829
netherlands,h2_salt_cavern,hydrogen,2015-01-04 10:00:00,67407.3915751744
netherlands,h2_salt_cavern,hydrogen,2015-01-04 11:00:00,69768.91633591708
netherlands,h2_salt_cavern,hydrogen,2015-01-04 12:00:00,72845.80251851119
netherlands,h2_salt_cavern,hydrogen,2015-01-04 13:00:00,76998.36284088949
netherlands,h2_salt_cavern,hydrogen,2015-01-04 14:00:00,79031.07031002454
netherlands,h2_salt_cavern,hydrogen,2015-01-04 15:00:00,81864.5026973472
netherlands,h2_salt_cavern,hydrogen,2015-01-04 16:00:00,81864.5026973472
netherlands,h2_salt_cavern,hydrogen,2015-01-04 17:00:00,81864.5026973472
netherlands,h2_salt_cavern,hydrogen,2015-01-04 18:00:00,80931.35359432269
netherlands,h2_salt_cavern,hydrogen,2015-01-04 19:00:00,76778.79327194439
netherlands,h2_salt_cavern,hydrogen,2015-01-04 20:00:00,72626.2329495661
netherlands,h2_salt_cavern,hydrogen,2015-01-04 21:00:00,68473.6726271878
netherlands,h2_salt_cavern,hydrogen,2015-01-04 22:00:00,64321.1123048095
netherlands,h2_salt_cavern,hydrogen,2015-01-04 23:00:00,60168.55198243121
netherlands,h2_salt_cavern,hydrogen,2015-01-05 00:00:00,56015.99166005291
netherlands,h2_salt_cavern,hydrogen,2015-01-05 01:00:00,51863.431337674614
netherlands,h2_salt_cavern,hydrogen,2015-01-05 02:00:00,48159.82713166671
netherlands,h2_salt_cavern,hydrogen,2015-01-05 03:00:00,46524.40463888273
netherlands,h2_salt_cavern,hydrogen,2015-01-05 04:00:00,42371.84431650443
netherlands,h2_salt_cavern,hydrogen,2015-01-05 05:00:00,38219.28399412613
netherlands,h2_salt_cavern,hydrogen,2015-01-05 06:00:00,34066.72367174784
netherlands,h2_salt_cavern,hydrogen,2015-01-05 07:00:00,28041.149921997916
netherlands,h2_salt_cavern,hydrogen,2015-01-05 08:00:00,19858.67574377358
netherlands,h2_salt_cavern,hydrogen,2015-01-05 09:00:00,12604.51303221099
netherlands,h2_salt_cavern,hydrogen,2015-01-05 10:00:00,7477.428368276451
netherlands,h2_salt_cavern,hydrogen,2015-01-05 11:00:00,2045.8336431276985
netherlands,h2_salt_cavern,hydrogen,2015-01-05 12:00:00,-6072.3790589892305
netherlands,h2_salt_cavern,hydrogen,2015-01-05 13:00:00,-18731.57800728921
netherlands,h2_salt_cavern,hydrogen,2015-01-05 14:00:00,-32537.141990099102
netherlands,h2_salt_cavern,hydrogen,2015-01-05 15:00:00,-44650.04877385311
netherlands,h2_salt_cavern,hydrogen,2015-01-05 16:00:00,-57299.947346787434
netherlands,h2_salt_cavern,hydrogen,2015-01-05 17:00:00,-71401.13105394365
netherlands,h2_salt_cavern,hydrogen,2015-01-05 18:00:00,-84408.71962158475
netherlands,h2_salt_cavern,hydrogen,2015-01-05 19:00:00,-96584.84073676402
netherlands,h2_salt_cavern,hydrogen,2015-01-05 20:00:00,-107795.9019116601
netherlands,h2_salt_cavern,hydrogen,2015-01-05 21:00:00,-117536.16089490801
netherlands,h2_salt_cavern,hydrogen,2015-01-05 22:00:00,-118765.53822489176
netherlands,h2_salt_cavern,hydrogen,2015-01-05 23:00:00,-118765.53822489176
netherlands,h2_salt_cavern,hydrogen,2015-01-06 00:00:00,-123039.26189175341
netherlands,h2_salt_cavern,hydrogen,2015-01-06 01:00:00,-126048.23603366548
netherlands,h2_salt_cavern,hydrogen,2015-01-06 02:00:00,-126497.19215003587
