nodes,techs,costs,cost_investment
netherlands,battery,monetary,14797.900187905123
netherlands,hydrogen_storage_system,monetary,489905.7824927365
netherlands,nuclear,monetary,11427.9
netherlands,offshore_wind,monetary,70369.41233359027
netherlands,onshore_wind,monetary,17760.0
netherlands,solar,monetary,26639.786899444403
