comment,comment,comment,comment,comment
nodes,netherlands,netherlands,netherlands,netherlands
techs,demand_power,offshore_wind,onshore_wind,solar
parameters,sink_use_equals,source_use_max,source_use_max,source_use_max
timesteps,,,,
2015/01/01 00:00,11261.199999999999,0.41218499999999997,0.45783,0.0
2015/01/01 01:00,10856.75,0.6500700000000001,0.42014499999999994,0.0
2015/01/01 02:00,10484.25,0.61924,0.37638,0.0
2015/01/01 03:00,10240.7,0.497325,0.34535499999999997,0.0
2015/01/01 04:00,10644.550000000001,0.28591000000000005,0.30428499999999997,0.0
2015/01/01 05:00,11012.449999999999,0.567805,0.237305,0.0
2015/01/01 06:00,12174.849999999999,0.6830299999999999,0.48625000000000007,0.0
2015/01/01 07:00,13394.35,0.7071,0.51106,0.0079
2015/01/01 08:00,13971.750000000002,0.7325100000000001,0.531235,0.03245
2015/01/01 09:00,14285.65,0.7596099999999999,0.5531999999999999,0.0793
2015/01/01 10:00,16069.8,0.7822300000000001,0.5774800000000001,0.17804999999999999
2015/01/01 11:00,16307.349999999999,0.79833,0.600155,0.38029999999999997
2015/01/01 12:00,15597.799999999997,0.816845,0.6277800000000001,0.11445000000000001
2015/01/01 13:00,15202.7,0.837135,0.6461850000000001,0.05025
2015/01/01 14:00,14761.35,0.8693550000000001,0.67423,0.019450000000000005
2015/01/01 15:00,15869.8,0.906755,0.7284700000000001,0.0007000000000000001
2015/01/01 16:00,16804.15,0.939785,0.7942400000000001,0.0
2015/01/01 17:00,17311.350000000002,0.9547649999999999,0.8335100000000001,0.0
2015/01/01 18:00,16519.05,0.96687,0.8918750000000002,0.0
2015/01/01 19:00,14527.600000000002,0.97815,0.9310149999999999,0.0
2015/01/01 20:00,13699.85,0.94709,0.8609800000000001,0.0
2015/01/01 21:00,12935.0,0.92684,0.815165,0.0
2015/01/01 22:00,12528.9,0.890485,0.758175,0.0
2015/01/01 23:00,11717.8,0.8520550000000002,0.70132,0.0
2015/01/02 00:00,11047.774193548386,0.9376354838709677,0.6918806451612902,0.0
2015/01/02 01:00,10600.06451612903,0.958074193548387,0.7372000000000001,0.0
2015/01/02 02:00,10197.548387096775,0.9693806451612903,0.8147548387096775,0.0
2015/01/02 03:00,9899.677419354839,0.980458064516129,0.9168516129032258,0.0
2015/01/02 04:00,10410.774193548386,0.9840161290322582,0.9610193548387097,0.0
2015/01/02 05:00,10841.193548387095,0.9749516129032257,0.9387870967741936,0.0
2015/01/02 06:00,11654.129032258064,0.9645451612903224,0.8487516129032259,0.0
2015/01/02 07:00,12347.548387096773,0.9122387096774193,0.7794225806451612,0.0030967741935483874
2015/01/02 08:00,12879.387096774193,0.8920709677419354,0.7243161290322581,0.024225806451612913
2015/01/02 09:00,13422.258064516129,0.8788741935483871,0.7502838709677416,0.07025806451612902
2015/01/02 10:00,14644.64516129032,0.8665161290322579,0.7999483870967743,0.15570967741935482
2015/01/02 11:00,15646.741935483871,0.9018838709677417,0.8662000000000001,0.42200000000000004
2015/01/02 12:00,14914.677419354839,0.9289225806451614,0.8844548387096774,0.24516129032258072
2015/01/02 13:00,14372.322580645161,0.9518129032258065,0.9009838709677421,0.10122580645161292
2015/01/02 14:00,13724.451612903225,0.9450354838709679,0.8315064516129033,0.04390322580645161
2015/01/02 15:00,14068.548387096775,0.9209322580645162,0.7633516129032257,0.01141935483870968
2015/01/02 16:00,16143.290322580646,0.8527580645161291,0.7101548387096774,3.2258064516129034e-05
2015/01/02 17:00,17050.41935483871,0.8351806451612904,0.6704096774193551,0.0
2015/01/02 18:00,16593.580645161288,0.8118677419354838,0.6517870967741937,0.0
2015/01/02 19:00,15260.516129032258,0.7936548387096775,0.6261322580645161,0.0
2015/01/02 20:00,13142.096774193547,0.7741645161290323,0.5956032258064518,0.0
2015/01/02 21:00,12611.064516129032,0.7400677419354839,0.5701645161290321,0.0
2015/01/02 22:00,12055.064516129034,0.6794516129032256,0.5155451612903225,0.0
2015/01/02 23:00,11313.967741935483,0.5333258064516129,0.38737419354838715,0.0
2015/01/03 00:00,11175.722222222223,0.6379277777777779,0.4216,0.0
2015/01/03 01:00,10713.944444444443,0.6208444444444444,0.41201666666666664,0.0
2015/01/03 02:00,10415.27777777778,0.6037611111111112,0.3986166666666667,0.0
2015/01/03 03:00,9874.722222222223,0.5713166666666667,0.38701111111111114,0.0
2015/01/03 04:00,10185.61111111111,0.5574999999999999,0.36733333333333335,0.0
2015/01/03 05:00,10561.555555555557,0.5255222222222222,0.3571611111111112,0.0
2015/01/03 06:00,10976.499999999998,0.5080777777777777,0.34027222222222225,0.0
2015/01/03 07:00,11713.111111111111,0.47346111111111105,0.3291444444444444,5.555555555555556e-05
2015/01/03 08:00,12329.722222222223,0.4353944444444445,0.3203,0.015611111111111114
2015/01/03 09:00,12836.055555555555,0.15215555555555557,0.23977777777777773,0.0505
2015/01/03 10:00,13541.333333333334,0.2991444444444445,0.12636666666666665,0.09977777777777774
2015/01/03 11:00,14266.333333333334,0.3875333333333333,0.2696722222222222,0.21899999999999997
2015/01/03 12:00,14082.333333333332,0.41966666666666663,0.2885111111111111,0.13033333333333333
2015/01/03 13:00,13763.166666666666,0.3499888888888889,0.1933666666666667,0.06866666666666668
2015/01/03 14:00,13101.944444444443,0.4528555555555555,0.3066666666666667,0.03288888888888889
2015/01/03 15:00,13909.777777777777,0.48847777777777773,0.34695000000000004,0.005111111111111111
2015/01/03 16:00,14567.666666666666,0.5454388888888889,0.3774055555555556,0.0
2015/01/03 17:00,15283.0,0.5886055555555556,0.43421111111111105,0.0
2015/01/03 18:00,14854.166666666668,0.6542111111111111,0.44965,0.0
2015/01/03 19:00,14424.11111111111,0.745188888888889,0.4678444444444445,0.0
2015/01/03 20:00,13258.611111111111,0.7948444444444445,0.49082222222222227,0.0
2015/01/03 21:00,12582.277777777777,0.9162777777777779,0.7565,0.0
2015/01/03 22:00,11997.5,0.7089444444444445,0.564338888888889,0.0
2015/01/03 23:00,11419.944444444443,0.6741777777777778,0.5189944444444444,0.0
2015/01/04 00:00,11276.055555555557,0.61125,0.373125,0.0
2015/01/04 01:00,10856.666666666666,0.7675416666666667,0.4373333333333333,0.0
2015/01/04 02:00,10367.222222222223,0.5517027777777779,0.6092055555555556,0.0
2015/01/04 03:00,10652.694444444443,0.5194666666666665,0.3495861111111111,0.0
2015/01/04 04:00,11020.861111111111,0.49428333333333324,0.33228888888888897,0.0
2015/01/04 05:00,12079.138888888889,0.4694861111111111,0.3150277777777778,0.0
2015/01/04 06:00,13495.416666666666,0.4447833333333333,0.30213055555555557,0.0
2015/01/04 07:00,14553.638888888889,0.4205611111111111,0.2924583333333333,0.0038611111111111103
2015/01/04 08:00,15383.694444444443,0.39971666666666666,0.2821777777777778,0.03322222222222223
2015/01/04 09:00,16515.861111111113,0.3755833333333333,0.27021666666666666,0.08327777777777777
2015/01/04 10:00,16658.805555555555,0.3584638888888889,0.25829444444444444,0.16027777777777777
2015/01/04 11:00,16359.277777777777,0.34337499999999993,0.2497527777777778,0.3928333333333333
2015/01/04 12:00,15791.833333333332,0.32738333333333325,0.23766388888888892,0.23497222222222222
2015/01/04 13:00,15635.055555555555,0.30789166666666673,0.22461944444444443,0.11283333333333333
2015/01/04 14:00,15134.777777777776,0.28343333333333326,0.21306944444444445,0.05711111111111112
2015/01/04 15:00,15996.111111111113,0.2624638888888889,0.20320555555555558,0.017527777777777778
2015/01/04 16:00,17146.861111111113,0.24163333333333334,0.19158333333333336,2.777777777777778e-05
2015/01/04 17:00,16817.25,0.22633888888888892,0.17913055555555557,0.0
2015/01/04 18:00,16198.916666666666,0.185825,0.1654472222222222,0.0
2015/01/04 19:00,14892.194444444442,0.03614166666666667,0.1496138888888889,0.0
2015/01/04 20:00,14092.666666666668,0.0819638888888889,0.12770555555555554,0.0
2015/01/04 21:00,12966.472222222223,0.11626944444444447,0.10423055555555556,0.0
2015/01/04 22:00,12607.25,0.15480833333333333,0.08225555555555555,0.0
2015/01/04 23:00,11567.25,0.20606944444444444,0.04663333333333333,0.0
2015/01/05 00:00,11276.055555555557,0.61125,0.373125,0.0
