,nodes,techs,costs,Value,source_model
2,netherlands,h2_elec_conversion,monetary,18428.780675402762,results_plan_cluster_2013_2012_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,18473.441939037653,results_plan_cluster_2013_2012_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15321.562640125994,results_plan_cluster_2013_2012_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,78039.93397242822,results_plan_cluster_2013_2012_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22533.56304330232,results_plan_cluster_2013_2012_weights_1_9.netcdf
7,netherlands,solar,monetary,27680.309398857575,results_plan_cluster_2013_2012_weights_1_9.netcdf
0,netherlands,battery,monetary,1097.4572624642433,results_plan_cluster_2013_2014_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31135.258858297704,results_plan_cluster_2013_2014_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18280.77971298071,results_plan_cluster_2013_2014_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,17774.507137200195,results_plan_cluster_2013_2014_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2013_2014_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,78582.62653905306,results_plan_cluster_2013_2014_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22472.72946079557,results_plan_cluster_2013_2014_weights_1_9.netcdf
7,netherlands,solar,monetary,31398.336195849257,results_plan_cluster_2013_2014_weights_1_9.netcdf
0,netherlands,battery,monetary,856.9213909693807,results_plan_cluster_2013_2015_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,30544.190251682125,results_plan_cluster_2013_2015_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18515.955583451047,results_plan_cluster_2013_2015_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,14557.424672766008,results_plan_cluster_2013_2015_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2013_2015_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,69652.64731302139,results_plan_cluster_2013_2015_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22532.31489821016,results_plan_cluster_2013_2015_weights_1_9.netcdf
7,netherlands,solar,monetary,30391.914657232453,results_plan_cluster_2013_2015_weights_1_9.netcdf
0,netherlands,battery,monetary,1633.890833384588,results_plan_cluster_2013_2016_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,27991.895222141677,results_plan_cluster_2013_2016_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18157.59497939259,results_plan_cluster_2013_2016_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,32721.194098924276,results_plan_cluster_2013_2016_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15281.133743871442,results_plan_cluster_2013_2016_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,80715.15262982585,results_plan_cluster_2013_2016_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22462.21827375062,results_plan_cluster_2013_2016_weights_1_9.netcdf
7,netherlands,solar,monetary,32667.884063545247,results_plan_cluster_2013_2016_weights_1_9.netcdf
0,netherlands,battery,monetary,782.4289962478283,results_plan_cluster_2013_2017_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31427.163879710395,results_plan_cluster_2013_2017_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18566.27797247146,results_plan_cluster_2013_2017_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,15596.224430179082,results_plan_cluster_2013_2017_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15260.961149145862,results_plan_cluster_2013_2017_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,80004.59339140344,results_plan_cluster_2013_2017_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22474.45684767021,results_plan_cluster_2013_2017_weights_1_9.netcdf
7,netherlands,solar,monetary,27935.53040661806,results_plan_cluster_2013_2017_weights_1_9.netcdf
0,netherlands,battery,monetary,1394.2609469176618,results_plan_cluster_2013_2018_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,28823.63560055413,results_plan_cluster_2013_2018_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,17705.344851419744,results_plan_cluster_2013_2018_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,16095.63714430851,results_plan_cluster_2013_2018_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15272.774485299753,results_plan_cluster_2013_2018_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,76164.03816389917,results_plan_cluster_2013_2018_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22453.368545588797,results_plan_cluster_2013_2018_weights_1_9.netcdf
7,netherlands,solar,monetary,28436.552564654878,results_plan_cluster_2013_2018_weights_1_9.netcdf
0,netherlands,battery,monetary,1344.9659200485155,results_plan_cluster_2013_2019_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,27945.337801466132,results_plan_cluster_2013_2019_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,17992.35283855777,results_plan_cluster_2013_2019_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,19397.14072030128,results_plan_cluster_2013_2019_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859728,results_plan_cluster_2013_2019_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,80758.03744426293,results_plan_cluster_2013_2019_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22496.912274623464,results_plan_cluster_2013_2019_weights_1_9.netcdf
7,netherlands,solar,monetary,25668.0951903213,results_plan_cluster_2013_2019_weights_1_9.netcdf
0,netherlands,battery,monetary,1022.4440228468401,results_plan_cluster_2014_2010_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,32481.368267357833,results_plan_cluster_2014_2010_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19106.157153014312,results_plan_cluster_2014_2010_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,19436.98986960028,results_plan_cluster_2014_2010_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15300.919384212724,results_plan_cluster_2014_2010_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,79451.95098933553,results_plan_cluster_2014_2010_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22397.19122074655,results_plan_cluster_2014_2010_weights_1_9.netcdf
7,netherlands,solar,monetary,32002.176733246284,results_plan_cluster_2014_2010_weights_1_9.netcdf
0,netherlands,battery,monetary,1022.4598450055885,results_plan_cluster_2014_2010_weights_9_1.netcdf
1,netherlands,electrolyser,monetary,32598.390592912125,results_plan_cluster_2014_2010_weights_9_1.netcdf
2,netherlands,h2_elec_conversion,monetary,19011.402968156402,results_plan_cluster_2014_2010_weights_9_1.netcdf
3,netherlands,h2_salt_cavern,monetary,19483.847474017686,results_plan_cluster_2014_2010_weights_9_1.netcdf
4,netherlands,nuclear,monetary,15254.03967805536,results_plan_cluster_2014_2010_weights_9_1.netcdf
5,netherlands,offshore_wind,monetary,79280.18104471097,results_plan_cluster_2014_2010_weights_9_1.netcdf
6,netherlands,onshore_wind,monetary,22464.901359863543,results_plan_cluster_2014_2010_weights_9_1.netcdf
7,netherlands,solar,monetary,32192.595692444236,results_plan_cluster_2014_2010_weights_9_1.netcdf
0,netherlands,battery,monetary,1136.0319701237306,results_plan_cluster_2014_2011_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31516.561246756435,results_plan_cluster_2014_2011_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18250.452119905338,results_plan_cluster_2014_2011_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,16015.970971875167,results_plan_cluster_2014_2011_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2014_2011_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,73368.6538674586,results_plan_cluster_2014_2011_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22482.407384877355,results_plan_cluster_2014_2011_weights_1_9.netcdf
7,netherlands,solar,monetary,33732.70748863099,results_plan_cluster_2014_2011_weights_1_9.netcdf
0,netherlands,battery,monetary,1239.1540304683374,results_plan_cluster_2014_2012_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31619.25990924573,results_plan_cluster_2014_2012_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18269.024760654713,results_plan_cluster_2014_2012_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,14731.04599044225,results_plan_cluster_2014_2012_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15281.133743871442,results_plan_cluster_2014_2012_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,79182.49926766683,results_plan_cluster_2014_2012_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22523.864566655815,results_plan_cluster_2014_2012_weights_1_9.netcdf
7,netherlands,solar,monetary,30837.423668937714,results_plan_cluster_2014_2012_weights_1_9.netcdf
0,netherlands,battery,monetary,1088.5722926790506,results_plan_cluster_2014_2013_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31206.099769277116,results_plan_cluster_2014_2013_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18270.542865112682,results_plan_cluster_2014_2013_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,17351.734043040327,results_plan_cluster_2014_2013_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2014_2013_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,79367.7679218571,results_plan_cluster_2014_2013_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22468.92510594851,results_plan_cluster_2014_2013_weights_1_9.netcdf
7,netherlands,solar,monetary,30914.04418363185,results_plan_cluster_2014_2013_weights_1_9.netcdf
0,netherlands,battery,monetary,2199.041074380022,results_plan_cluster_2014_2015_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,33121.74702492821,results_plan_cluster_2014_2015_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18044.010514913014,results_plan_cluster_2014_2015_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,18760.80231238805,results_plan_cluster_2014_2015_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2014_2015_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,63422.83516894376,results_plan_cluster_2014_2015_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22509.52940800723,results_plan_cluster_2014_2015_weights_1_9.netcdf
7,netherlands,solar,monetary,37544.12914690269,results_plan_cluster_2014_2015_weights_1_9.netcdf
0,netherlands,battery,monetary,1341.4859655431278,results_plan_cluster_2014_2016_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29805.497755199198,results_plan_cluster_2014_2016_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18303.57245477567,results_plan_cluster_2014_2016_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,23451.390129095387,results_plan_cluster_2014_2016_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15316.923989267752,results_plan_cluster_2014_2016_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,78022.99969541183,results_plan_cluster_2014_2016_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22463.670870327238,results_plan_cluster_2014_2016_weights_1_9.netcdf
7,netherlands,solar,monetary,33214.146059456805,results_plan_cluster_2014_2016_weights_1_9.netcdf
0,netherlands,battery,monetary,1739.2892019037292,results_plan_cluster_2014_2017_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,30753.02008644917,results_plan_cluster_2014_2017_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18144.38403529967,results_plan_cluster_2014_2017_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,21660.843787258582,results_plan_cluster_2014_2017_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2014_2017_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,75836.50095162842,results_plan_cluster_2014_2017_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22456.615392875035,results_plan_cluster_2014_2017_weights_1_9.netcdf
7,netherlands,solar,monetary,32916.46278387197,results_plan_cluster_2014_2017_weights_1_9.netcdf
0,netherlands,battery,monetary,2120.0046643393803,results_plan_cluster_2014_2018_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,33202.2916414296,results_plan_cluster_2014_2018_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18006.79436770224,results_plan_cluster_2014_2018_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,18865.219319892924,results_plan_cluster_2014_2018_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859732,results_plan_cluster_2014_2018_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,63327.28157124103,results_plan_cluster_2014_2018_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22430.790195975722,results_plan_cluster_2014_2018_weights_1_9.netcdf
7,netherlands,solar,monetary,37759.64385376746,results_plan_cluster_2014_2018_weights_1_9.netcdf
0,netherlands,battery,monetary,2141.2564150911426,results_plan_cluster_2014_2019_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,32960.960077009404,results_plan_cluster_2014_2019_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18010.33668710984,results_plan_cluster_2014_2019_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,18532.157415498095,results_plan_cluster_2014_2019_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2014_2019_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,64460.250281986286,results_plan_cluster_2014_2019_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22463.71114643045,results_plan_cluster_2014_2019_weights_1_9.netcdf
7,netherlands,solar,monetary,37242.354579831095,results_plan_cluster_2014_2019_weights_1_9.netcdf
0,netherlands,battery,monetary,1022.4796138011793,results_plan_cluster_2015_2010_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31347.76594185346,results_plan_cluster_2015_2010_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19110.012309542915,results_plan_cluster_2015_2010_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,24087.730751487754,results_plan_cluster_2015_2010_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15267.816589666429,results_plan_cluster_2015_2010_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,78494.55824853912,results_plan_cluster_2015_2010_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22407.823147421816,results_plan_cluster_2015_2010_weights_1_9.netcdf
7,netherlands,solar,monetary,30211.51721876618,results_plan_cluster_2015_2010_weights_1_9.netcdf
0,netherlands,battery,monetary,1015.7270762918146,results_plan_cluster_2015_2010_weights_9_1.netcdf
1,netherlands,electrolyser,monetary,31319.349801893746,results_plan_cluster_2015_2010_weights_9_1.netcdf
2,netherlands,h2_elec_conversion,monetary,18905.16330728561,results_plan_cluster_2015_2010_weights_9_1.netcdf
3,netherlands,h2_salt_cavern,monetary,24062.878786056426,results_plan_cluster_2015_2010_weights_9_1.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2015_2010_weights_9_1.netcdf
5,netherlands,offshore_wind,monetary,78672.93525925995,results_plan_cluster_2015_2010_weights_9_1.netcdf
6,netherlands,onshore_wind,monetary,22528.080895794734,results_plan_cluster_2015_2010_weights_9_1.netcdf
7,netherlands,solar,monetary,30159.35144477753,results_plan_cluster_2015_2010_weights_9_1.netcdf
0,netherlands,battery,monetary,1488.2439632759895,results_plan_cluster_2015_2011_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31422.516333833242,results_plan_cluster_2015_2011_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18332.94745655701,results_plan_cluster_2015_2011_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,13552.142869257563,results_plan_cluster_2015_2011_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2015_2011_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,64068.07341205458,results_plan_cluster_2015_2011_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22491.024666334743,results_plan_cluster_2015_2011_weights_1_9.netcdf
7,netherlands,solar,monetary,32590.410602868542,results_plan_cluster_2015_2011_weights_1_9.netcdf
0,netherlands,battery,monetary,1495.4888031651953,results_plan_cluster_2015_2012_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29266.491159234487,results_plan_cluster_2015_2012_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18358.275976301236,results_plan_cluster_2015_2012_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,16519.7246810464,results_plan_cluster_2015_2012_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15281.133743871442,results_plan_cluster_2015_2012_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,72552.38470863142,results_plan_cluster_2015_2012_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22524.01857363108,results_plan_cluster_2015_2012_weights_1_9.netcdf
7,netherlands,solar,monetary,30247.693014140426,results_plan_cluster_2015_2012_weights_1_9.netcdf
0,netherlands,battery,monetary,859.1375785903159,results_plan_cluster_2015_2013_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,30554.866907014082,results_plan_cluster_2015_2013_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18613.6108201611,results_plan_cluster_2015_2013_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,14561.56685290293,results_plan_cluster_2015_2013_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15253.408931689335,results_plan_cluster_2015_2013_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,69656.34416217002,results_plan_cluster_2015_2013_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22473.2308482177,results_plan_cluster_2015_2013_weights_1_9.netcdf
7,netherlands,solar,monetary,30444.927436959966,results_plan_cluster_2015_2013_weights_1_9.netcdf
0,netherlands,battery,monetary,2199.1217575785486,results_plan_cluster_2015_2014_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,33187.52477314878,results_plan_cluster_2015_2014_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18146.463867663555,results_plan_cluster_2015_2014_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,18787.089016310976,results_plan_cluster_2015_2014_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2015_2014_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,63449.137239042866,results_plan_cluster_2015_2014_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22460.509987908055,results_plan_cluster_2015_2014_weights_1_9.netcdf
7,netherlands,solar,monetary,37506.6720195932,results_plan_cluster_2015_2014_weights_1_9.netcdf
0,netherlands,battery,monetary,1497.6543688678992,results_plan_cluster_2015_2016_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29268.97492980756,results_plan_cluster_2015_2016_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18379.21203452201,results_plan_cluster_2015_2016_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,27948.230020200528,results_plan_cluster_2015_2016_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15281.133743871442,results_plan_cluster_2015_2016_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,77331.60421947739,results_plan_cluster_2015_2016_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22470.754399495898,results_plan_cluster_2015_2016_weights_1_9.netcdf
7,netherlands,solar,monetary,32965.38375618728,results_plan_cluster_2015_2016_weights_1_9.netcdf
0,netherlands,battery,monetary,1491.360892509991,results_plan_cluster_2015_2017_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31686.79386873486,results_plan_cluster_2015_2017_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18373.472355453887,results_plan_cluster_2015_2017_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,15993.717014926477,results_plan_cluster_2015_2017_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15254.826933516828,results_plan_cluster_2015_2017_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,71306.29483883294,results_plan_cluster_2015_2017_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22469.603194049472,results_plan_cluster_2015_2017_weights_1_9.netcdf
7,netherlands,solar,monetary,31037.83603064661,results_plan_cluster_2015_2017_weights_1_9.netcdf
0,netherlands,battery,monetary,1491.3587356503915,results_plan_cluster_2015_2018_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29770.52352031862,results_plan_cluster_2015_2018_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18284.704330905108,results_plan_cluster_2015_2018_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,12712.383607124884,results_plan_cluster_2015_2018_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2015_2018_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,71347.8617232845,results_plan_cluster_2015_2018_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22463.08612089431,results_plan_cluster_2015_2018_weights_1_9.netcdf
7,netherlands,solar,monetary,28667.672449012127,results_plan_cluster_2015_2018_weights_1_9.netcdf
0,netherlands,battery,monetary,639.004958541376,results_plan_cluster_2015_2019_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,28192.254464565645,results_plan_cluster_2015_2019_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18652.92023404389,results_plan_cluster_2015_2019_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,14981.483823041852,results_plan_cluster_2015_2019_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2015_2019_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,77659.70510612066,results_plan_cluster_2015_2019_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22510.634229777872,results_plan_cluster_2015_2019_weights_1_9.netcdf
7,netherlands,solar,monetary,24646.043676786332,results_plan_cluster_2015_2019_weights_1_9.netcdf
0,netherlands,battery,monetary,1022.2404103036674,results_plan_cluster_2016_2010_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29795.016058302383,results_plan_cluster_2016_2010_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19056.88324752552,results_plan_cluster_2016_2010_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,26151.734291057055,results_plan_cluster_2016_2010_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15247.723230083262,results_plan_cluster_2016_2010_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,89653.42160356589,results_plan_cluster_2016_2010_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22396.125057695623,results_plan_cluster_2016_2010_weights_1_9.netcdf
7,netherlands,solar,monetary,31158.01657562821,results_plan_cluster_2016_2010_weights_1_9.netcdf
0,netherlands,battery,monetary,1024.5292925838858,results_plan_cluster_2016_2010_weights_9_1.netcdf
1,netherlands,electrolyser,monetary,29840.48038180133,results_plan_cluster_2016_2010_weights_9_1.netcdf
2,netherlands,h2_elec_conversion,monetary,19052.131481269174,results_plan_cluster_2016_2010_weights_9_1.netcdf
3,netherlands,h2_salt_cavern,monetary,26197.034549436314,results_plan_cluster_2016_2010_weights_9_1.netcdf
4,netherlands,nuclear,monetary,15281.133743871453,results_plan_cluster_2016_2010_weights_9_1.netcdf
5,netherlands,offshore_wind,monetary,90034.52542701122,results_plan_cluster_2016_2010_weights_9_1.netcdf
6,netherlands,onshore_wind,monetary,22463.355663747796,results_plan_cluster_2016_2010_weights_9_1.netcdf
7,netherlands,solar,monetary,31145.0508351292,results_plan_cluster_2016_2010_weights_9_1.netcdf
0,netherlands,battery,monetary,1554.9863802565976,results_plan_cluster_2016_2011_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,28225.822628789738,results_plan_cluster_2016_2011_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18044.662839123208,results_plan_cluster_2016_2011_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,24744.23785127606,results_plan_cluster_2016_2011_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15247.723230083255,results_plan_cluster_2016_2011_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,86001.68427133646,results_plan_cluster_2016_2011_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22493.57299003585,results_plan_cluster_2016_2011_weights_1_9.netcdf
7,netherlands,solar,monetary,29680.55574385119,results_plan_cluster_2016_2011_weights_1_9.netcdf
0,netherlands,battery,monetary,1311.4836910094793,results_plan_cluster_2016_2012_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,33270.59714987869,results_plan_cluster_2016_2012_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18190.78616982471,results_plan_cluster_2016_2012_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,16971.92908615904,results_plan_cluster_2016_2012_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15285.310058094965,results_plan_cluster_2016_2012_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,88444.62868829767,results_plan_cluster_2016_2012_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22521.27425223805,results_plan_cluster_2016_2012_weights_1_9.netcdf
7,netherlands,solar,monetary,32710.192080937457,results_plan_cluster_2016_2012_weights_1_9.netcdf
0,netherlands,battery,monetary,1629.201721950357,results_plan_cluster_2016_2013_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,27866.008359570464,results_plan_cluster_2016_2013_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18060.923659024862,results_plan_cluster_2016_2013_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,32542.44383089203,results_plan_cluster_2016_2013_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15247.723230083255,results_plan_cluster_2016_2013_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,80858.038458279,results_plan_cluster_2016_2013_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22455.043052884466,results_plan_cluster_2016_2013_weights_1_9.netcdf
7,netherlands,solar,monetary,32558.8797848212,results_plan_cluster_2016_2013_weights_1_9.netcdf
0,netherlands,battery,monetary,1338.7052225354532,results_plan_cluster_2016_2014_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29670.4766208406,results_plan_cluster_2016_2014_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18216.36375845923,results_plan_cluster_2016_2014_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,23366.78803787188,results_plan_cluster_2016_2014_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15250.93076801291,results_plan_cluster_2016_2014_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,78058.77061725869,results_plan_cluster_2016_2014_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22462.84895727236,results_plan_cluster_2016_2014_weights_1_9.netcdf
7,netherlands,solar,monetary,33130.94246880478,results_plan_cluster_2016_2014_weights_1_9.netcdf
0,netherlands,battery,monetary,1494.9280045777612,results_plan_cluster_2016_2015_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29201.535434113266,results_plan_cluster_2016_2015_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18179.431843974922,results_plan_cluster_2016_2015_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,27193.459333372444,results_plan_cluster_2016_2015_weights_1_9.netcdf
