nodes,techs,costs,cost
netherlands,battery,monetary,1724278858.7930753
netherlands,hydrogen_storage_system,monetary,54659222967.26414
netherlands,nuclear,monetary,1488676526.1156583
netherlands,offshore_wind,monetary,9500045768.917385
netherlands,onshore_wind,monetary,2247849742.606138
netherlands,solar,monetary,3264304444.3781004
