nodes,techs,costs,cost_investment_annualised
netherlands,battery,monetary,1723728481.3428707
netherlands,hydrogen_storage_system,monetary,54019771218.66939
netherlands,nuclear,monetary,1168610361.9859731
netherlands,offshore_wind,monetary,7616782479.8171625
netherlands,onshore_wind,monetary,1922655726.8249211
netherlands,solar,monetary,2732537940.2263083
