timesteps,nodes,techs,sink_use_equals
2019-01-05 17:00:00,netherlands,demand_power,14988.0
2019-01-05 18:00:00,netherlands,demand_power,14533.0
2019-01-05 19:00:00,netherlands,demand_power,13959.0
2019-01-05 20:00:00,netherlands,demand_power,13285.0
2019-01-05 21:00:00,netherlands,demand_power,12624.0
2019-01-05 22:00:00,netherlands,demand_power,12011.0
2019-01-05 23:00:00,netherlands,demand_power,11610.0
2019-01-06 00:00:00,netherlands,demand_power,11237.0
2019-01-06 01:00:00,netherlands,demand_power,10889.0
2019-01-06 02:00:00,netherlands,demand_power,10732.0
2019-01-06 03:00:00,netherlands,demand_power,10690.0
2019-01-06 04:00:00,netherlands,demand_power,10798.0
2019-01-06 05:00:00,netherlands,demand_power,11103.0
2019-01-06 06:00:00,netherlands,demand_power,11582.0
2019-01-06 07:00:00,netherlands,demand_power,12196.0
2019-01-06 08:00:00,netherlands,demand_power,12866.0
2019-01-06 09:00:00,netherlands,demand_power,13366.0
2019-01-06 10:00:00,netherlands,demand_power,13667.0
2019-01-06 11:00:00,netherlands,demand_power,13897.0
2019-01-06 12:00:00,netherlands,demand_power,13889.0
2019-01-06 13:00:00,netherlands,demand_power,13898.0
2019-01-06 14:00:00,netherlands,demand_power,13957.0
2019-01-06 15:00:00,netherlands,demand_power,14327.0
2019-01-06 16:00:00,netherlands,demand_power,15253.0
2019-01-06 17:00:00,netherlands,demand_power,14939.0
2019-01-06 18:00:00,netherlands,demand_power,14562.0
2019-01-06 19:00:00,netherlands,demand_power,14042.0
2019-01-06 20:00:00,netherlands,demand_power,13368.0
2019-01-06 21:00:00,netherlands,demand_power,12699.0
2019-01-06 22:00:00,netherlands,demand_power,11906.0
2019-01-06 23:00:00,netherlands,demand_power,11492.0
2019-01-07 00:00:00,netherlands,demand_power,11219.0
2019-01-07 01:00:00,netherlands,demand_power,11062.0
2019-01-07 02:00:00,netherlands,demand_power,11034.0
2019-01-07 03:00:00,netherlands,demand_power,11165.0
2019-01-07 04:00:00,netherlands,demand_power,11720.0
2019-01-07 05:00:00,netherlands,demand_power,13137.0
2019-01-07 06:00:00,netherlands,demand_power,15066.0
2019-01-07 07:00:00,netherlands,demand_power,16392.0
2019-01-07 08:00:00,netherlands,demand_power,16714.0
2019-01-07 09:00:00,netherlands,demand_power,16818.0
2019-01-07 10:00:00,netherlands,demand_power,16892.0
2019-01-07 11:00:00,netherlands,demand_power,16730.0
2019-01-07 12:00:00,netherlands,demand_power,16803.0
2019-01-07 13:00:00,netherlands,demand_power,16765.0
2019-01-07 14:00:00,netherlands,demand_power,16833.0
2019-01-07 15:00:00,netherlands,demand_power,17127.0
2019-01-07 16:00:00,netherlands,demand_power,17640.0
2019-01-07 17:00:00,netherlands,demand_power,16716.0
2019-01-07 18:00:00,netherlands,demand_power,16123.0
2019-01-07 19:00:00,netherlands,demand_power,15325.0
2019-01-07 20:00:00,netherlands,demand_power,14473.0
2019-01-07 21:00:00,netherlands,demand_power,13462.0
2019-01-07 22:00:00,netherlands,demand_power,12619.0
2019-01-07 23:00:00,netherlands,demand_power,12004.0
2019-01-08 00:00:00,netherlands,demand_power,11609.0
2019-01-08 01:00:00,netherlands,demand_power,11335.0
2019-01-08 02:00:00,netherlands,demand_power,11225.0
2019-01-08 03:00:00,netherlands,demand_power,11336.0
2019-01-08 04:00:00,netherlands,demand_power,11867.0
2019-01-08 05:00:00,netherlands,demand_power,13247.0
2019-01-08 06:00:00,netherlands,demand_power,15294.0
2019-01-08 07:00:00,netherlands,demand_power,16501.0
2019-01-08 08:00:00,netherlands,demand_power,16764.0
2019-01-08 09:00:00,netherlands,demand_power,16840.0
2019-01-08 10:00:00,netherlands,demand_power,16688.0
2019-01-08 11:00:00,netherlands,demand_power,16401.0
2019-01-08 12:00:00,netherlands,demand_power,16447.0
2019-01-08 13:00:00,netherlands,demand_power,16445.0
2019-01-08 14:00:00,netherlands,demand_power,16559.0
2019-01-08 15:00:00,netherlands,demand_power,16860.0
2019-01-08 16:00:00,netherlands,demand_power,17590.0
2019-01-08 17:00:00,netherlands,demand_power,16839.0
2019-01-08 18:00:00,netherlands,demand_power,16291.0
2019-01-08 19:00:00,netherlands,demand_power,15535.0
2019-01-08 20:00:00,netherlands,demand_power,14631.0
2019-01-08 21:00:00,netherlands,demand_power,13663.0
2019-01-08 22:00:00,netherlands,demand_power,12828.0
2019-01-08 23:00:00,netherlands,demand_power,12167.0
2019-01-09 00:00:00,netherlands,demand_power,11750.0
2019-01-09 01:00:00,netherlands,demand_power,11513.0
2019-01-09 02:00:00,netherlands,demand_power,11422.0
2019-01-09 03:00:00,netherlands,demand_power,11562.0
2019-01-09 04:00:00,netherlands,demand_power,12030.0
2019-01-09 05:00:00,netherlands,demand_power,13430.0
2019-01-09 06:00:00,netherlands,demand_power,15515.0
2019-01-09 07:00:00,netherlands,demand_power,16796.0
2019-01-09 08:00:00,netherlands,demand_power,16944.0
2019-01-09 09:00:00,netherlands,demand_power,16617.0
2019-01-09 10:00:00,netherlands,demand_power,16287.0
2019-01-09 11:00:00,netherlands,demand_power,15901.0
2019-01-09 12:00:00,netherlands,demand_power,15965.0
2019-01-09 13:00:00,netherlands,demand_power,16076.0
2019-01-09 14:00:00,netherlands,demand_power,16387.0
2019-01-09 15:00:00,netherlands,demand_power,16843.0
2019-01-09 16:00:00,netherlands,demand_power,17819.0
2019-01-09 17:00:00,netherlands,demand_power,17033.0
2019-01-09 18:00:00,netherlands,demand_power,16426.0
2019-01-09 19:00:00,netherlands,demand_power,15661.0
2019-01-09 20:00:00,netherlands,demand_power,14766.0
2019-01-09 21:00:00,netherlands,demand_power,13776.0
2019-01-09 22:00:00,netherlands,demand_power,12915.0
2019-01-09 23:00:00,netherlands,demand_power,12302.0
2019-01-10 00:00:00,netherlands,demand_power,11854.0
2019-01-10 01:00:00,netherlands,demand_power,11563.0
2019-01-10 02:00:00,netherlands,demand_power,11475.0
2019-01-10 03:00:00,netherlands,demand_power,11571.0
2019-01-10 04:00:00,netherlands,demand_power,12080.0
2019-01-10 05:00:00,netherlands,demand_power,13422.0
2019-01-10 06:00:00,netherlands,demand_power,15496.0
2019-01-10 07:00:00,netherlands,demand_power,16809.0
2019-01-10 08:00:00,netherlands,demand_power,17183.0
2019-01-10 09:00:00,netherlands,demand_power,17222.0
2019-01-10 10:00:00,netherlands,demand_power,17096.0
2019-01-10 11:00:00,netherlands,demand_power,16886.0
2019-01-10 12:00:00,netherlands,demand_power,16886.0
2019-01-10 13:00:00,netherlands,demand_power,16852.0
2019-01-10 14:00:00,netherlands,demand_power,16849.0
2019-01-10 15:00:00,netherlands,demand_power,17080.0
2019-01-10 16:00:00,netherlands,demand_power,17724.0
2019-01-10 17:00:00,netherlands,demand_power,17001.0
2019-01-10 18:00:00,netherlands,demand_power,16467.0
2019-01-10 19:00:00,netherlands,demand_power,15713.0
2019-01-10 20:00:00,netherlands,demand_power,14793.0
2019-01-10 21:00:00,netherlands,demand_power,13776.0
2019-01-10 22:00:00,netherlands,demand_power,12949.0
2019-01-10 23:00:00,netherlands,demand_power,12256.0
2019-01-11 00:00:00,netherlands,demand_power,11813.0
2019-01-11 01:00:00,netherlands,demand_power,11587.0
2019-01-11 02:00:00,netherlands,demand_power,11528.0
2019-01-11 03:00:00,netherlands,demand_power,11577.0
2019-01-11 04:00:00,netherlands,demand_power,12107.0
2019-01-11 05:00:00,netherlands,demand_power,13366.0
2019-01-11 06:00:00,netherlands,demand_power,15354.0
2019-01-11 07:00:00,netherlands,demand_power,16699.0
2019-01-11 08:00:00,netherlands,demand_power,17021.0
2019-01-11 09:00:00,netherlands,demand_power,16944.0
2019-01-11 10:00:00,netherlands,demand_power,17034.0
2019-01-11 11:00:00,netherlands,demand_power,16791.0
2019-01-11 12:00:00,netherlands,demand_power,16779.0
2019-01-11 13:00:00,netherlands,demand_power,16650.0
2019-01-11 14:00:00,netherlands,demand_power,16668.0
2019-01-11 15:00:00,netherlands,demand_power,16749.0
2019-01-11 16:00:00,netherlands,demand_power,17372.0
2019-01-11 17:00:00,netherlands,demand_power,16626.0
2019-01-11 18:00:00,netherlands,demand_power,15938.0
2019-01-11 19:00:00,netherlands,demand_power,15138.0
2019-01-11 20:00:00,netherlands,demand_power,14141.0
2019-01-11 21:00:00,netherlands,demand_power,13293.0
2019-01-11 22:00:00,netherlands,demand_power,12651.0
2019-01-11 23:00:00,netherlands,demand_power,12127.0
2019-01-12 00:00:00,netherlands,demand_power,11692.0
2019-01-12 01:00:00,netherlands,demand_power,11381.0
2019-01-12 02:00:00,netherlands,demand_power,11114.0
2019-01-12 03:00:00,netherlands,demand_power,11082.0
2019-01-12 04:00:00,netherlands,demand_power,11207.0
2019-01-12 05:00:00,netherlands,demand_power,11752.0
2019-01-12 06:00:00,netherlands,demand_power,12506.0
2019-01-12 07:00:00,netherlands,demand_power,13515.0
2019-01-12 08:00:00,netherlands,demand_power,14413.0
2019-01-12 09:00:00,netherlands,demand_power,15043.0
2019-01-12 10:00:00,netherlands,demand_power,15218.0
2019-01-12 11:00:00,netherlands,demand_power,15261.0
2019-01-12 12:00:00,netherlands,demand_power,15057.0
2019-01-12 13:00:00,netherlands,demand_power,14859.0
2019-01-12 14:00:00,netherlands,demand_power,14701.0
2019-01-12 15:00:00,netherlands,demand_power,14912.0
2019-01-12 16:00:00,netherlands,demand_power,15557.0
2019-01-12 17:00:00,netherlands,demand_power,15139.0
2019-01-12 18:00:00,netherlands,demand_power,14544.0
2019-01-12 19:00:00,netherlands,demand_power,13957.0
2019-01-12 20:00:00,netherlands,demand_power,13229.0
2019-01-12 21:00:00,netherlands,demand_power,12634.0
2019-01-12 22:00:00,netherlands,demand_power,11993.0
2019-01-12 23:00:00,netherlands,demand_power,11617.0
2019-01-13 00:00:00,netherlands,demand_power,11233.0
2019-01-13 01:00:00,netherlands,demand_power,10889.0
2019-01-13 02:00:00,netherlands,demand_power,10702.0
2019-01-13 03:00:00,netherlands,demand_power,10682.0
2019-01-13 04:00:00,netherlands,demand_power,10794.0
2019-01-13 05:00:00,netherlands,demand_power,11083.0
2019-01-13 06:00:00,netherlands,demand_power,11560.0
2019-01-13 07:00:00,netherlands,demand_power,12351.0
2019-01-13 08:00:00,netherlands,demand_power,12919.0
2019-01-13 09:00:00,netherlands,demand_power,13499.0
2019-01-13 10:00:00,netherlands,demand_power,13966.0
2019-01-13 11:00:00,netherlands,demand_power,14279.0
2019-01-13 12:00:00,netherlands,demand_power,14237.0
2019-01-13 13:00:00,netherlands,demand_power,14118.0
2019-01-13 14:00:00,netherlands,demand_power,13960.0
2019-01-13 15:00:00,netherlands,demand_power,14182.0
2019-01-13 16:00:00,netherlands,demand_power,15110.0
2019-01-13 17:00:00,netherlands,demand_power,14918.0
2019-01-13 18:00:00,netherlands,demand_power,14508.0
2019-01-13 19:00:00,netherlands,demand_power,13993.0
2019-01-13 20:00:00,netherlands,demand_power,13310.0
2019-01-13 21:00:00,netherlands,demand_power,12650.0
2019-01-13 22:00:00,netherlands,demand_power,11901.0
2019-01-13 23:00:00,netherlands,demand_power,11493.0
2019-01-14 00:00:00,netherlands,demand_power,11197.0
2019-01-14 01:00:00,netherlands,demand_power,11053.0
2019-01-14 02:00:00,netherlands,demand_power,10974.0
2019-01-14 03:00:00,netherlands,demand_power,11100.0
2019-01-14 04:00:00,netherlands,demand_power,11687.0
2019-01-14 05:00:00,netherlands,demand_power,13214.0
2019-01-14 06:00:00,netherlands,demand_power,15262.0
2019-01-14 07:00:00,netherlands,demand_power,16589.0
2019-01-14 08:00:00,netherlands,demand_power,16738.0
2019-01-14 09:00:00,netherlands,demand_power,16519.0
2019-01-14 10:00:00,netherlands,demand_power,16193.0
2019-01-14 11:00:00,netherlands,demand_power,15894.0
2019-01-14 12:00:00,netherlands,demand_power,15926.0
2019-01-14 13:00:00,netherlands,demand_power,16038.0
2019-01-14 14:00:00,netherlands,demand_power,16279.0
2019-01-14 15:00:00,netherlands,demand_power,16731.0
2019-01-14 16:00:00,netherlands,demand_power,17580.0
2019-01-14 17:00:00,netherlands,demand_power,17014.0
2019-01-14 18:00:00,netherlands,demand_power,16457.0
