,model_name,run_time,objective_function,mean_absolute_capacity_error,ldes_capacity_error
0,n_days_40_seed_0,2.739212989807129,20951.804407591437,0.5627550019073219,0.47078442117169383
1,n_days_40_seed_1,2.3616299629211426,20378.276747706233,0.17886502879449007,0.2021527408681262
2,n_days_40_seed_2,2.2416908740997314,25719.556840289668,0.15747520935458809,-0.4502922092484638
3,n_days_40_seed_3,2.338526964187622,20110.83525711466,0.3770174105341369,0.2601186675948061
4,n_days_40_seed_4,2.389785051345825,22294.081867021516,0.19534143617417107,0.040283368162543014
5,n_days_40_seed_5,2.3362820148468018,18682.154832939086,0.14236834305529186,0.0198513582517788
6,n_days_40_seed_6,2.4209961891174316,23773.453607852298,0.5077825639404252,-0.16466400854858312
7,n_days_40_seed_7,2.2822518348693848,19954.40524389362,0.22184266430608188,0.4082732989988449
8,n_days_40_seed_8,2.5242550373077393,22770.00033869857,0.10845383239700794,-0.033520960016056
9,n_days_40_seed_9,2.0946860313415527,19517.96870558963,0.5205642692140436,0.531989658730991
10,n_days_40_seed_10,2.411301851272583,22026.500713390305,0.13894415999794477,0.4704882095776277
11,n_days_40_seed_11,2.619414806365967,21777.932434708575,0.17936222018989445,0.03624509807075387
12,n_days_40_seed_12,2.1862058639526367,22028.277008432084,0.26070257557478915,0.4887087776005177
13,n_days_40_seed_13,2.2739791870117188,25630.478387123003,0.09483391162715785,-0.6628242334155443
14,n_days_40_seed_14,2.111147165298462,26083.25267603084,0.8416972242718661,-0.6944451505322541
15,n_days_40_seed_15,2.3175220489501953,24674.94894151088,0.01884722909967904,-0.6510298328254567
16,n_days_40_seed_16,2.2060179710388184,23515.47663818949,0.21420743118837274,-0.3085572420279859
17,n_days_40_seed_17,2.4176928997039795,18771.723348927226,0.3196664935045988,0.6620410414087023
18,n_days_40_seed_18,2.490504026412964,24786.41495148735,0.18989542974841636,-0.10332147661698625
19,n_days_40_seed_19,2.2371878623962402,24007.370546491482,0.23018464971375954,-0.15379104714107578
20,n_days_40_seed_20,2.945059061050415,27187.777170165147,0.41515669520255677,-0.7859985470985851
21,n_days_40_seed_21,2.6707780361175537,22257.428668160104,0.23263807418069965,0.3463808911010445
22,n_days_40_seed_22,2.5293800830841064,20628.35509067127,0.3149408794133486,0.4294937335867582
23,n_days_40_seed_23,2.5154120922088623,23335.257828049107,0.2386268857533151,0.28867176867990657
24,n_days_40_seed_24,2.588416814804077,24402.663916584017,0.6952962827360682,-0.2381318803519189
25,n_days_40_seed_25,2.6349070072174072,22165.75806652318,0.09590717563152205,-0.5123831783849564
26,n_days_40_seed_26,2.771162986755371,24564.998691141784,0.07784699651711133,-0.4359692269627748
27,n_days_40_seed_27,2.79715895652771,22689.935018846187,0.2319916034661949,-0.028939910798401518
28,n_days_40_seed_28,2.593419075012207,21016.97605859279,0.13681300735529184,0.3903401338765143
29,n_days_40_seed_29,3.06243896484375,23021.001856553583,0.2115407937123381,0.15675135676183202
30,n_days_40_seed_30,2.908342123031616,21496.64881814102,0.10421877544159877,0.11715027454532798
31,n_days_40_seed_31,2.639902114868164,21605.234830347337,0.33874303859424226,0.11590425296612562
32,n_days_40_seed_32,2.7376909255981445,26506.173348057913,0.57388440278779,-0.7140995581236295
33,n_days_40_seed_33,2.699800968170166,26845.020833563613,0.7609987352248355,-0.31327725625039327
34,n_days_40_seed_34,2.8103549480438232,23947.898499387815,0.0866245153116525,-0.0878492434157231
35,n_days_40_seed_35,2.190984010696411,21840.104933196064,0.3239586544910182,0.5688532395796748
36,n_days_40_seed_36,2.2256600856781006,22912.495331114413,0.32196290264996763,-0.2306136486753258
37,n_days_40_seed_37,2.461019992828369,19027.173354578306,0.12018266250953215,0.5898927648750953
38,n_days_40_seed_38,2.2730789184570312,25450.991229897834,0.2770270241711493,-0.08377838024995805
39,n_days_40_seed_39,2.5036909580230713,24086.943686209273,0.06466029157453293,-0.19996125713454152
40,n_days_40_seed_40,2.4384119510650635,19137.30603079769,0.6167899482566616,0.783630087231806
41,n_days_40_seed_41,2.5020229816436768,22483.78040581957,0.10856068697883384,-0.30363179436472526
42,n_days_40_seed_42,2.436979055404663,26967.428564570968,0.5365541660933396,-0.4492769011431858
43,n_days_40_seed_43,2.58896803855896,28202.40190238339,0.5614323146162072,-0.5579211150815735
44,n_days_40_seed_44,2.6279821395874023,22945.570064346597,0.5970307677433335,0.33364518186381037
