,model_name,alpha_error,standardised_pearson_r,fd_correlation,cosine_similarity,peak_time_error
0,n_days_40_seed_93,0.07557857758182147,0.753101720666592,0.5085615035491542,0.9483864489510723,0.09247631008105948
1,n_days_40_seed_90,0.13229959483404052,0.7105458890844967,0.4619639485953401,0.9233424207520046,0.1856376298664231
2,n_days_40_seed_80,-0.062201043476318676,0.6466598890745885,0.42086413650841287,0.9079884662186105,0.0344788217833086
3,n_days_40_seed_77,-0.006425068081699883,0.24957749533877377,0.4642607482981468,0.8307311934594432,0.1722799406324923
4,n_days_40_seed_99,-0.18247829529051257,0.7426865232625661,0.48455480891855596,0.9343686901966449,-0.02408950793469574
5,n_days_40_seed_82,0.10314512546424001,0.6745949241449668,0.4830190543716388,0.9352191464098936,0.0615367051033223
6,n_days_40_seed_86,-0.03432657521753838,0.660348857830654,0.43843812882030686,0.9318022132482152,0.39376641169083226
7,n_days_40_seed_5,-0.15612819935857694,0.8038470807199372,0.4786826730952182,0.928547787771446,0.018495262016211895
