nodes,techs,carriers,costs,cost_investment_flow_cap
netherlands,hydrogen_storage_system,power,monetary,22041462738.783463
netherlands,nuclear,power,monetary,11427900000.0
netherlands,offshore_wind,power,monetary,68514367648.7669
netherlands,onshore_wind,power,monetary,17760000000.0
netherlands,solar,power,monetary,24787241630.728374
