timesteps,nodes,techs,sink_use_equals
2019-01-05 13:00:00,netherlands,demand_power,14668000.0
2019-01-05 14:00:00,netherlands,demand_power,14574000.0
2019-01-05 15:00:00,netherlands,demand_power,14800000.0
2019-01-05 16:00:00,netherlands,demand_power,15471000.0
2019-01-05 17:00:00,netherlands,demand_power,14988000.0
2019-01-05 18:00:00,netherlands,demand_power,14533000.0
2019-01-05 19:00:00,netherlands,demand_power,13959000.0
2019-01-05 20:00:00,netherlands,demand_power,13285000.0
2019-01-05 21:00:00,netherlands,demand_power,12624000.0
2019-01-05 22:00:00,netherlands,demand_power,12011000.0
2019-01-05 23:00:00,netherlands,demand_power,11610000.0
2019-01-06 00:00:00,netherlands,demand_power,11237000.0
2019-01-06 01:00:00,netherlands,demand_power,10889000.0
2019-01-06 02:00:00,netherlands,demand_power,10732000.0
2019-01-06 03:00:00,netherlands,demand_power,10690000.0
2019-01-06 04:00:00,netherlands,demand_power,10798000.0
2019-01-06 05:00:00,netherlands,demand_power,11103000.0
2019-01-06 06:00:00,netherlands,demand_power,11582000.0
2019-01-06 07:00:00,netherlands,demand_power,12196000.0
2019-01-06 08:00:00,netherlands,demand_power,12866000.0
2019-01-06 09:00:00,netherlands,demand_power,13366000.0
2019-01-06 10:00:00,netherlands,demand_power,13667000.0
2019-01-06 11:00:00,netherlands,demand_power,13897000.0
2019-01-06 12:00:00,netherlands,demand_power,13889000.0
2019-01-06 13:00:00,netherlands,demand_power,13898000.0
2019-01-06 14:00:00,netherlands,demand_power,13957000.0
2019-01-06 15:00:00,netherlands,demand_power,14327000.0
2019-01-06 16:00:00,netherlands,demand_power,15253000.0
2019-01-06 17:00:00,netherlands,demand_power,14939000.0
2019-01-06 18:00:00,netherlands,demand_power,14562000.0
2019-01-06 19:00:00,netherlands,demand_power,14042000.0
2019-01-06 20:00:00,netherlands,demand_power,13368000.0
2019-01-06 21:00:00,netherlands,demand_power,12699000.0
2019-01-06 22:00:00,netherlands,demand_power,11906000.0
2019-01-06 23:00:00,netherlands,demand_power,11492000.0
2019-01-07 00:00:00,netherlands,demand_power,11219000.0
2019-01-07 01:00:00,netherlands,demand_power,11062000.0
2019-01-07 02:00:00,netherlands,demand_power,11034000.0
2019-01-07 03:00:00,netherlands,demand_power,11165000.0
2019-01-07 04:00:00,netherlands,demand_power,11720000.0
2019-01-07 05:00:00,netherlands,demand_power,13137000.0
2019-01-07 06:00:00,netherlands,demand_power,15066000.0
2019-01-07 07:00:00,netherlands,demand_power,16392000.0
2019-01-07 08:00:00,netherlands,demand_power,16714000.0
2019-01-07 09:00:00,netherlands,demand_power,16818000.0
2019-01-07 10:00:00,netherlands,demand_power,16892000.0
2019-01-07 11:00:00,netherlands,demand_power,16730000.0
2019-01-07 12:00:00,netherlands,demand_power,16803000.0
2019-01-07 13:00:00,netherlands,demand_power,16765000.0
2019-01-07 14:00:00,netherlands,demand_power,16833000.0
2019-01-07 15:00:00,netherlands,demand_power,17127000.0
2019-01-07 16:00:00,netherlands,demand_power,17640000.0
2019-01-07 17:00:00,netherlands,demand_power,16716000.0
2019-01-07 18:00:00,netherlands,demand_power,16123000.0
2019-01-07 19:00:00,netherlands,demand_power,15325000.0
2019-01-07 20:00:00,netherlands,demand_power,14473000.0
2019-01-07 21:00:00,netherlands,demand_power,13462000.0
2019-01-07 22:00:00,netherlands,demand_power,12619000.0
2019-01-07 23:00:00,netherlands,demand_power,12004000.0
2019-01-08 00:00:00,netherlands,demand_power,11609000.0
2019-01-08 01:00:00,netherlands,demand_power,11335000.0
2019-01-08 02:00:00,netherlands,demand_power,11225000.0
2019-01-08 03:00:00,netherlands,demand_power,11336000.0
2019-01-08 04:00:00,netherlands,demand_power,11867000.0
2019-01-08 05:00:00,netherlands,demand_power,13247000.0
2019-01-08 06:00:00,netherlands,demand_power,15294000.0
2019-01-08 07:00:00,netherlands,demand_power,16501000.0
2019-01-08 08:00:00,netherlands,demand_power,16764000.0
2019-01-08 09:00:00,netherlands,demand_power,16840000.0
2019-01-08 10:00:00,netherlands,demand_power,16688000.0
2019-01-08 11:00:00,netherlands,demand_power,16401000.0
2019-01-08 12:00:00,netherlands,demand_power,16447000.0
2019-01-08 13:00:00,netherlands,demand_power,16445000.0
2019-01-08 14:00:00,netherlands,demand_power,16559000.0
2019-01-08 15:00:00,netherlands,demand_power,16860000.0
2019-01-08 16:00:00,netherlands,demand_power,17590000.0
2019-01-08 17:00:00,netherlands,demand_power,16839000.0
2019-01-08 18:00:00,netherlands,demand_power,16291000.0
2019-01-08 19:00:00,netherlands,demand_power,15535000.0
2019-01-08 20:00:00,netherlands,demand_power,14631000.0
2019-01-08 21:00:00,netherlands,demand_power,13663000.0
2019-01-08 22:00:00,netherlands,demand_power,12828000.0
2019-01-08 23:00:00,netherlands,demand_power,12167000.0
2019-01-09 00:00:00,netherlands,demand_power,11750000.0
2019-01-09 01:00:00,netherlands,demand_power,11513000.0
2019-01-09 02:00:00,netherlands,demand_power,11422000.0
2019-01-09 03:00:00,netherlands,demand_power,11562000.0
2019-01-09 04:00:00,netherlands,demand_power,12030000.0
2019-01-09 05:00:00,netherlands,demand_power,13430000.0
2019-01-09 06:00:00,netherlands,demand_power,15515000.0
2019-01-09 07:00:00,netherlands,demand_power,16796000.0
2019-01-09 08:00:00,netherlands,demand_power,16944000.0
2019-01-09 09:00:00,netherlands,demand_power,16617000.0
2019-01-09 10:00:00,netherlands,demand_power,16287000.0
2019-01-09 11:00:00,netherlands,demand_power,15901000.0
2019-01-09 12:00:00,netherlands,demand_power,15965000.0
2019-01-09 13:00:00,netherlands,demand_power,16076000.0
2019-01-09 14:00:00,netherlands,demand_power,16387000.0
2019-01-09 15:00:00,netherlands,demand_power,16843000.0
2019-01-09 16:00:00,netherlands,demand_power,17819000.0
2019-01-09 17:00:00,netherlands,demand_power,17033000.0
2019-01-09 18:00:00,netherlands,demand_power,16426000.0
