nodes,techs,carriers,timesteps,flow_in
netherlands,demand_power,power,2019-01-30 23:00:00,12671000.0
netherlands,demand_power,power,2019-01-31 00:00:00,12205000.0
netherlands,demand_power,power,2019-01-31 01:00:00,11946000.0
netherlands,demand_power,power,2019-01-31 02:00:00,11870000.0
netherlands,demand_power,power,2019-01-31 03:00:00,11939000.0
netherlands,demand_power,power,2019-01-31 04:00:00,12466000.0
netherlands,demand_power,power,2019-01-31 05:00:00,13922000.0
netherlands,demand_power,power,2019-01-31 06:00:00,15990000.0
netherlands,demand_power,power,2019-01-31 07:00:00,16862000.0
netherlands,demand_power,power,2019-01-31 08:00:00,17264000.0
netherlands,demand_power,power,2019-01-31 09:00:00,17412000.0
netherlands,demand_power,power,2019-01-31 10:00:00,17331000.0
netherlands,demand_power,power,2019-01-31 11:00:00,17177000.0
netherlands,demand_power,power,2019-01-31 12:00:00,17264000.0
netherlands,demand_power,power,2019-01-31 13:00:00,17214000.0
netherlands,demand_power,power,2019-01-31 14:00:00,17284000.0
netherlands,demand_power,power,2019-01-31 15:00:00,17414000.0
netherlands,demand_power,power,2019-01-31 16:00:00,17872000.0
netherlands,demand_power,power,2019-01-31 17:00:00,17435000.0
netherlands,demand_power,power,2019-01-31 18:00:00,16899000.0
netherlands,demand_power,power,2019-01-31 19:00:00,16136000.0
netherlands,demand_power,power,2019-01-31 20:00:00,15205000.0
netherlands,demand_power,power,2019-01-31 21:00:00,14148000.0
netherlands,demand_power,power,2019-01-31 22:00:00,13304000.0
netherlands,demand_power,power,2019-01-31 23:00:00,12680000.0
netherlands,hydrogen_storage_system,power,2019-01-01 00:00:00,15867297.229499832
netherlands,hydrogen_storage_system,power,2019-01-01 01:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 02:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 03:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 04:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 05:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 06:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 07:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 08:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 09:00:00,15892737.150426686
netherlands,hydrogen_storage_system,power,2019-01-01 10:00:00,15450949.533519182
netherlands,hydrogen_storage_system,power,2019-01-01 11:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 12:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 13:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 14:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 15:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 16:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 17:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 18:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 19:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 20:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 21:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 22:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-01 23:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-02 00:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-02 01:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-02 02:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-02 03:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-02 04:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-02 05:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-02 06:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-02 07:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-02 08:00:00,15263680.02681011
netherlands,hydrogen_storage_system,power,2019-01-02 09:00:00,13910970.259374099
netherlands,hydrogen_storage_system,power,2019-01-02 10:00:00,11099423.365421552
netherlands,hydrogen_storage_system,power,2019-01-02 11:00:00,10212825.97653585
netherlands,hydrogen_storage_system,power,2019-01-02 12:00:00,8598452.788537888
netherlands,hydrogen_storage_system,power,2019-01-02 13:00:00,5971233.876433589
netherlands,hydrogen_storage_system,power,2019-01-02 14:00:00,3898418.2502163467
netherlands,hydrogen_storage_system,power,2019-01-02 15:00:00,2418606.9197899564
netherlands,hydrogen_storage_system,power,2019-01-02 16:00:00,428041.4027857062
netherlands,hydrogen_storage_system,power,2019-01-02 17:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-02 18:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-02 19:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-02 20:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-02 21:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-02 22:00:00,500894.9694054257
netherlands,hydrogen_storage_system,power,2019-01-02 23:00:00,1250236.3442499638
netherlands,hydrogen_storage_system,power,2019-01-03 00:00:00,1492826.1865516007
netherlands,hydrogen_storage_system,power,2019-01-03 01:00:00,1608482.9071386177
netherlands,hydrogen_storage_system,power,2019-01-03 02:00:00,1794754.2294170354
netherlands,hydrogen_storage_system,power,2019-01-03 03:00:00,2334582.1630875394
netherlands,hydrogen_storage_system,power,2019-01-03 04:00:00,2640081.4190364573
netherlands,hydrogen_storage_system,power,2019-01-03 05:00:00,1640682.6887487546
netherlands,hydrogen_storage_system,power,2019-01-03 06:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 07:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 08:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 09:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 10:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 11:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 12:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 13:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 14:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 15:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 16:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 17:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 18:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 19:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 20:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 21:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 22:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-03 23:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-04 00:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-04 01:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-04 02:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-04 03:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-04 04:00:00,1313867.0357349217
netherlands,hydrogen_storage_system,power,2019-01-04 05:00:00,2856664.6943867523
netherlands,hydrogen_storage_system,power,2019-01-04 06:00:00,3244493.6793796886
netherlands,hydrogen_storage_system,power,2019-01-04 07:00:00,2780066.162175471
netherlands,hydrogen_storage_system,power,2019-01-04 08:00:00,3211018.9087066846
netherlands,hydrogen_storage_system,power,2019-01-04 09:00:00,3415310.833615704
netherlands,hydrogen_storage_system,power,2019-01-04 10:00:00,3797813.605301194
netherlands,hydrogen_storage_system,power,2019-01-04 11:00:00,4271217.6138581745
netherlands,hydrogen_storage_system,power,2019-01-04 12:00:00,4387751.770771154
netherlands,hydrogen_storage_system,power,2019-01-04 13:00:00,4217096.468098614
netherlands,hydrogen_storage_system,power,2019-01-04 14:00:00,3934462.477764927
