timesteps,nodes,techs,source_use_max
2019-01-02 08:00:00,netherlands,solar,0.076
2019-01-02 09:00:00,netherlands,offshore_wind,0.6194
2019-01-02 09:00:00,netherlands,onshore_wind,0.3901
2019-01-02 09:00:00,netherlands,solar,0.222
2019-01-02 10:00:00,netherlands,offshore_wind,0.5465
2019-01-02 10:00:00,netherlands,onshore_wind,0.3291
2019-01-02 10:00:00,netherlands,solar,0.319
2019-01-02 11:00:00,netherlands,offshore_wind,0.5101
2019-01-02 11:00:00,netherlands,onshore_wind,0.332
2019-01-02 11:00:00,netherlands,solar,0.345
2019-01-02 12:00:00,netherlands,offshore_wind,0.4734
2019-01-02 12:00:00,netherlands,onshore_wind,0.3178
2019-01-02 12:00:00,netherlands,solar,0.318
2019-01-02 13:00:00,netherlands,offshore_wind,0.4319
2019-01-02 13:00:00,netherlands,onshore_wind,0.2746
2019-01-02 13:00:00,netherlands,solar,0.23
2019-01-02 14:00:00,netherlands,offshore_wind,0.4132
2019-01-02 14:00:00,netherlands,onshore_wind,0.2485
2019-01-02 14:00:00,netherlands,solar,0.093
2019-01-02 15:00:00,netherlands,offshore_wind,0.3978
2019-01-02 15:00:00,netherlands,onshore_wind,0.2528
2019-01-02 15:00:00,netherlands,solar,0.002
2019-01-02 16:00:00,netherlands,offshore_wind,0.3661
2019-01-02 16:00:00,netherlands,onshore_wind,0.2485
2019-01-02 16:00:00,netherlands,solar,0.0
2019-01-02 17:00:00,netherlands,offshore_wind,0.3179
2019-01-02 17:00:00,netherlands,onshore_wind,0.2217
2019-01-02 17:00:00,netherlands,solar,0.0
2019-01-02 18:00:00,netherlands,offshore_wind,0.2788
2019-01-02 18:00:00,netherlands,onshore_wind,0.1947
2019-01-02 18:00:00,netherlands,solar,0.0
2019-01-02 19:00:00,netherlands,offshore_wind,0.2574
2019-01-02 19:00:00,netherlands,onshore_wind,0.1772
2019-01-02 19:00:00,netherlands,solar,0.0
2019-01-02 20:00:00,netherlands,offshore_wind,0.2539
2019-01-02 20:00:00,netherlands,onshore_wind,0.1694
2019-01-02 20:00:00,netherlands,solar,0.0
2019-01-02 21:00:00,netherlands,offshore_wind,0.257
2019-01-02 21:00:00,netherlands,onshore_wind,0.168
2019-01-02 21:00:00,netherlands,solar,0.0
2019-01-02 22:00:00,netherlands,offshore_wind,0.2654
2019-01-02 22:00:00,netherlands,onshore_wind,0.1711
2019-01-02 22:00:00,netherlands,solar,0.0
2019-01-02 23:00:00,netherlands,offshore_wind,0.2692
2019-01-02 23:00:00,netherlands,onshore_wind,0.1743
2019-01-02 23:00:00,netherlands,solar,0.0
2019-01-03 00:00:00,netherlands,offshore_wind,0.2644
2019-01-03 00:00:00,netherlands,onshore_wind,0.1737
2019-01-03 00:00:00,netherlands,solar,0.0
2019-01-03 01:00:00,netherlands,offshore_wind,0.2597
2019-01-03 01:00:00,netherlands,onshore_wind,0.1724
2019-01-03 01:00:00,netherlands,solar,0.0
