nodes,techs,costs,cost_operation_fixed
netherlands,hydrogen_storage_system,monetary,633.1974756698668
netherlands,nuclear,monetary,273.90000000000003
netherlands,offshore_wind,monetary,1659.246901811249
netherlands,onshore_wind,monetary,262.40000000000003
netherlands,solar,monetary,531.7757388914083
