comment,"Time series in MWh on modified data from ENTSOE for the Netherlands 2006 to 2019 (inclusive), accessed December 2024. Modified to address Daylight Savings missing data and normalised to 2019 levels for all years (Average Demand = 13TWh)",Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.
nodes,netherlands,netherlands,netherlands,netherlands
techs,demand_power,solar,offshore_wind,onshore_wind
parameters,sink_use_equals,source_use_max,source_use_max,source_use_max
timesteps,,,,
2015/01/01 00:00,11217.725490196079,0.38372352941176474,0.29035588235294113,0.0
2015/01/01 01:00,10784.14705882353,0.5377960784313726,0.3808823529411765,0.0
2015/01/01 02:00,10003.637254901962,0.6058019607843137,0.43852647058823535,0.0
2015/01/01 03:00,10521.85294117647,0.6991117647058824,0.4785333333333335,0.0
2015/01/01 04:00,11016.068627450979,0.7311568627450982,0.5389411764705883,0.0
2015/01/01 05:00,11759.490196078432,0.7775764705882352,0.5682441176470588,0.0
2015/01/01 06:00,12471.1568627451,0.8110107843137254,0.6133098039215686,0.0
2015/01/01 07:00,13438.539215686274,0.8289529411764704,0.6556343137254901,0.0015000000000000005
2015/01/01 08:00,14151.921568627451,0.8615323529411764,0.7014156862745096,0.021598039215686274
2015/01/01 09:00,15600.931372549017,0.8888901960784316,0.7368254901960783,0.05799019607843137
2015/01/01 10:00,16184.941176470586,0.9124774509803923,0.7728186274509805,0.12587254901960793
2015/01/01 11:00,15918.088235294115,0.9346696078431372,0.8393147058823532,0.3235392156862746
2015/01/01 12:00,15253.990196078432,0.953843137254902,0.906833333333333,0.19187254901960785
2015/01/01 13:00,14512.156862745096,0.9714637254901958,0.9448578431372548,0.08808823529411766
2015/01/01 14:00,14873.647058823528,0.9807607843137255,0.8845107843137255,0.036460784313725486
2015/01/01 15:00,16399.42156862745,0.9633666666666666,0.8621333333333333,0.009
2015/01/01 16:00,16857.91176470588,0.9448117647058825,0.818673529411765,0.0
2015/01/01 17:00,17290.32352941177,0.9235745098039216,0.7964411764705881,0.0
2015/01/01 18:00,16602.490196078434,0.9008147058823528,0.7547264705882353,0.0
2015/01/01 19:00,13749.745098039217,0.8757480392156861,0.7183892156862743,0.0
2015/01/01 20:00,13117.607843137255,0.844335294117647,0.678664705882353,0.0
2015/01/01 21:00,12789.696078431372,0.7951441176470585,0.6350029411764706,0.0
2015/01/01 22:00,12089.313725490196,0.7591176470588235,0.5916686274509804,0.0
2015/01/01 23:00,11454.725490196079,0.6591480392156863,0.5077833333333335,0.0
2015/01/02 00:00,11217.725490196079,0.38372352941176474,0.29035588235294113,0.0
2015/01/02 01:00,10784.14705882353,0.5377960784313726,0.3808823529411765,0.0
2015/01/02 02:00,10003.637254901962,0.6058019607843137,0.43852647058823535,0.0
