id,horizon,number_reps,W_proxy,ldes_error,macme,abs_ldes_error
408c2c00922af5c875e9,10,45,0.0,0.174538421281715,0.1407131562905653,0.174538421281715
8af8acc7184eab1a9e50,10,45,0.25,-0.1997162347188067,0.0867392494314571,0.1997162347188067
de7e5005517d729bea95,10,45,0.5,-0.1218048393109488,0.0911460751165218,0.1218048393109488
d580e3d53755682ea603,10,45,0.75,-0.3293131101392944,0.1597326764776083,0.3293131101392944
ce78168ac8bef94442a8,10,45,1.0,-0.2693352789534855,0.1409645642868341,0.2693352789534855
28e4fc3e49983bd18782,10,60,0.0,0.344888136805384,0.1382776751538186,0.344888136805384
ffd59910e8a5aaa77788,10,60,0.25,-0.1559284972280789,0.0618280222359607,0.1559284972280789
97cdfcdef911618740ea,10,60,0.5,-0.1830149979989433,0.0950107066278144,0.1830149979989433
0ea93810016b346c26ad,10,60,0.75,-0.2477107573074592,0.1564274855082062,0.2477107573074592
4aee0116d36b3dac2d96,10,60,1.0,-0.3284383642339455,0.138315711206983,0.3284383642339455
189fb69dafd95d9b8020,10,90,0.0,0.1142775202904033,0.0667489164571459,0.1142775202904033
e3e76f2340826b9b8c1b,10,90,0.25,-0.1173958848560515,0.064999293475096,0.1173958848560515
24b216e72100e4a65ce2,10,90,0.5,-0.2397368023290816,0.0672050176066928,0.2397368023290816
671c1ae58038373dd1b1,10,90,0.75,-0.2475230034856657,0.1550399064869397,0.2475230034856657
3297d2ccc60e814d03b8,10,90,1.0,-0.4629502196128895,0.118033016998531,0.4629502196128895
65c4a7ed15a551b4c0ea,10,180,0.0,-0.157578874154167,0.0379830853327476,0.157578874154167
e3cb095e0b75a9070f8f,10,180,0.25,-0.0404007320222811,0.0475690898059693,0.0404007320222811
891291faa263989e3cef,10,180,0.5,-0.0980611414308869,0.0569876476444296,0.0980611414308869
a61ccf28b21861b5f6c3,10,180,0.75,-0.1878817489842591,0.1202575319731104,0.1878817489842591
867f0816be23b7dcb126,10,180,1.0,-0.3503049026389579,0.1376667637475452,0.3503049026389579
e3ea5ff9a359481045f4,10,365,0.0,0.0358892831378621,0.0376555757434625,0.0358892831378621
a2234ab3e01647138fcc,10,365,0.25,-0.2118289088893958,0.0554855822083577,0.2118289088893958
3783d72b50e4ae630c89,10,365,0.5,-0.1500328062678129,0.0923809976493013,0.1500328062678129
fad15b53f367da6c6d22,10,365,0.75,-0.2501332581140492,0.0883537294476644,0.2501332581140492
faaf997da5a5c138fa55,10,365,1.0,-0.2580698600764526,0.1229315390484828,0.2580698600764526
2e4bf46731a5a083f405,10,30,0.0,0.0576855963875916,0.0891464552313609,0.0576855963875916
630d6daab4d9e5c379b4,10,30,0.25,-0.2186191360861406,0.0823134579005557,0.2186191360861406
d1314dda27d1a776e688,10,30,0.5,-0.2922059173517826,0.090268962993216,0.2922059173517826
12b4e4eb09b751b79091,10,30,0.75,-0.3061679461397123,0.1644842071587929,0.3061679461397123
53c9c11b26252b3b245e,10,30,1.0,-0.3899926028458691,0.1246095898270027,0.3899926028458691
9a1ecfc6c592096b55b4,10,45,0.0,0.1833182714580197,0.1323378592911658,0.1833182714580197
69f36b9e512e7a29a192,10,45,0.25,-0.1329752408823065,0.0453602639223778,0.1329752408823065
01080372d94504509432,10,45,0.5,0.0750767672234541,0.0776669489726174,0.0750767672234541
2d89a0f33b5d5b4cd745,10,45,0.75,-0.3094884289357393,0.1106320307560603,0.3094884289357393
3f1784bc8320f00c8937,10,45,1.0,-0.2796192418622468,0.1380172576839909,0.2796192418622468
982fdba70c1fd823cee1,10,60,0.0,0.2354412872637223,0.1246217903761088,0.2354412872637223
a82e57a7bb34cda3d374,10,60,0.25,-0.2372197221332075,0.0852868803270566,0.2372197221332075
d1119dfb65d6f1b9cf49,10,60,0.5,0.0770752917078683,0.0598006476979034,0.0770752917078683
527362ee53f1b763207d,10,60,0.75,-0.3418484414702346,0.1084278461895307,0.3418484414702346
e3302663df3348449a18,10,60,1.0,-0.2676559008907609,0.1428470896731561,0.2676559008907609
bbea30d376c01d27adc5,10,90,0.0,0.427130959824432,0.088359595176957,0.427130959824432
b0122b2aabf85fdf6835,10,90,0.25,-0.5028808799016946,0.081693669686946,0.5028808799016946
9709af157ec51d124105,10,90,0.5,0.0524052071960774,0.0407657286793591,0.0524052071960774
a7a69c762f3ff0034cad,10,90,0.75,-0.294840377450888,0.0966614985659266,0.294840377450888
ed260d746428ab71d28c,10,90,1.0,-0.2539174228681121,0.0919942109811851,0.2539174228681121
516738dc6a2b51dc853c,10,180,0.0,0.1797483720479112,0.0706737267680164,0.1797483720479112
67b3f162ea5fd1b4807c,10,180,0.25,-0.3102384220229887,0.0601546613333711,0.3102384220229887
61fd7132459e010c0e9d,10,180,0.5,0.0064155367893709,0.0380474814636313,0.0064155367893709
8b3068d9da584236b1d8,10,180,0.75,-0.2597643456074813,0.0517426062389095,0.2597643456074813
a2ea72c61010844ee83a,10,180,1.0,-0.3347274463762453,0.091818643563327,0.3347274463762453
f75bc864158d99d963d2,10,365,0.0,0.0544386717359922,0.0620419277887596,0.0544386717359922
3925f59baf0e3105ef2b,10,365,0.25,0.0700240875211714,0.0511425563013499,0.0700240875211714
6035d16b1bb1360be1e5,10,365,0.5,-0.0933818553214454,0.0239924519554643,0.0933818553214454
7642c0be14aab7cdd5a8,10,365,0.75,-0.184572199968775,0.0777638345866988,0.184572199968775
dbf8fe94a8b955485109,10,365,1.0,-0.343545185955359,0.1008477449209494,0.343545185955359
8e115cad85983f66bf43,10,30,0.0,0.051387110147552,0.1079087322345551,0.051387110147552
2b9ce14ed2a3806073d5,10,30,0.25,0.1051521621722585,0.0929343814717881,0.1051521621722585
51e1913df40a38239a39,10,30,0.5,-0.0599434157664487,0.0575614083265821,0.0599434157664487
94814d4198848f0c7588,10,30,0.75,-0.212548456883045,0.1238693171992695,0.212548456883045
